,slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
13,-0.2,-0.1474747474747474,0.0406009251372372,-2.53092338996101,1.2654616951706696,-0.5579207832398154,-0.707540911550525,0.0353032842862869,0.0052976408509502,0.3280252525252525
14,-0.2,-0.1434343434343434,0.0492404386507061,-2.47950733400563,1.2397536669895768,-0.5321952034638535,-0.7075584635522001,0.0429930545021864,0.0062473841485196,0.3320656565656565
15,-0.2,-0.1393939393939394,0.0594296080257446,-2.4212041657853387,1.2106020831826054,-0.5030406986265348,-0.7075613839761983,0.0520656562107893,0.0073639518149552,0.3361060606060606
16,-0.2,-0.1353535353535353,0.0712761877517448,-2.356121036574373,1.178060518535803,-0.4704877174740574,-0.7075728005645123,0.0626197930140209,0.0086563947377239,0.3401464646464646
17,-0.2,-0.1313131313131313,0.084833874184082,-2.284627060875879,1.1423135302642509,-0.4347095442885162,-0.7076039863231118,0.074710115232148,0.010123758951934,0.3441868686868686
18,-0.2,-0.1272727272727273,0.1000841074036428,-2.207285599095278,1.1036427995875444,-0.3960174968205834,-0.7076253026871504,0.0883325896270001,0.0117515177766427,0.3482272727272727
19,-0.2,-0.1232323232323232,0.1169362730353009,-2.125033318693209,1.0625166593868398,-0.3548886092164665,-0.7076280500899025,0.1034256009218725,0.0135106721134284,0.3522676767676767
20,-0.2,-0.1191919191919192,0.1352404355462704,-2.039156066238536,1.0195780329934507,-0.3119288280567787,-0.7076492051883069,0.119881200177135,0.0153592353691354,0.3563080808080807
21,-0.2,-0.1151515151515151,0.1547903726678175,-1.9508577188547962,0.9754288593279944,-0.2677555294553109,-0.7076733300714906,0.1375464745112311,0.0172438981565864,0.3603484848484848
22,-0.2,-0.1111111111111111,0.1753607858362243,-1.8613006078495398,0.9306503039790464,-0.2229540915524843,-0.7076962123180092,0.156253987382893,0.0191067984533312,0.3643888888888889
23,-0.2,-0.107070707070707,0.196738005415388,-1.771403053044623,0.8857015263996386,-0.1779922409059473,-0.7077092857390367,0.1758460289558996,0.0208919764594883,0.3684292929292929
24,-0.2,-0.103030303030303,0.2187606229494017,-1.681784516395699,0.8408922581829374,-0.1331638073625818,-0.7077284508501799,0.1962082253881652,0.0225523975612365,0.3724696969696969
25,-0.2,-0.098989898989899,0.2413278710395445,-1.5925310318345465,0.7962655163323831,-0.0885343295273877,-0.7077311859747756,0.2172756356863548,0.0240522353531897,0.3765101010101009
26,-0.2,-0.0949494949494949,0.2644421269355738,-1.5033763535789677,0.7516881767466685,-0.0439458455938144,-0.7077423312384847,0.2390710667883024,0.0253710601472714,0.380550505050505
27,-0.2,-0.0909090909090909,0.2881868650248612,-1.4154873479609758,0.7067548576623581,0.0009888163319367,-0.7077436739666809,0.2616868670604455,0.0264999979644157,0.384590909090909
28,-0.2,-0.0868686868686868,0.3127528422683615,-1.41550229935142,0.6608969252030743,0.0468542244527618,-0.7077511496955837,0.2853109681070212,0.0274418741613402,0.3886313131313131
29,-0.2,-0.0828282828282828,0.3384104101393412,-1.4155127606518096,0.6133497748203176,0.0944066052068564,-0.7077563806246356,0.3102044577265043,0.0282059524128368,0.3926717171717171
30,-0.2,-0.0787878787878788,0.3655168526318474,-1.4155295858649763,0.5632198505461439,0.1445449419951074,-0.7077647933237249,0.3367105728633148,0.0288062797685326,0.3967121212121212
31,-0.2,-0.0747474747474747,0.3944943900872038,-1.415532676717996,0.5094828738161388,0.1982834644866713,-0.7077663384151859,0.3652363667890344,0.0292580232981693,0.4007525252525252
32,-0.2,-0.0707070707070707,0.4258387675054604,-1.4155356800983072,0.4510291180193935,0.256738721756971,-0.7077678403219427,0.3962617939000028,0.0295769736054575,0.4047929292929292
33,-0.2,-0.0666666666666666,0.4600995316091281,-1.415534649755903,0.3866562074559452,0.3211111175057723,-0.7077673247941855,0.4303221433120977,0.0297773882970304,0.4088333333333332
34,-0.2,-0.0626262626262626,0.4978895632688949,-1.415559027243967,0.3150952351998537,0.3926842783050261,-0.7077795137390873,0.4680170669162885,0.0298724963526063,0.4128737373737373
35,-0.2,-0.0585858585858586,0.5398336747111276,-1.4155423820619817,0.2349910402575172,0.4727801506216593,-0.7077711911828051,0.509962037052127,0.0298716376590007,0.4169141414141414
36,-0.2,-0.0545454545454545,0.5866561064287227,-1.4155908059023052,0.1449724842162547,0.5628229184862406,-0.7077954031998099,0.5568700297545427,0.0297860766741799,0.4209545454545454
37,-0.2,-0.0505050505050505,0.6390058715218337,-1.4155582595285603,0.0436039480696788,0.664175181754004,-0.7077791297048774,0.6093854722138693,0.0296203993079644,0.4249949494949494
38,-0.2,-0.0464646464646464,0.697646178841491,-1.5565956288829943,-0.07051608368665,0.7782978146357706,-0.7077817305605737,0.6682623183916178,0.0293838604498733,0.4290353535353535
39,-0.2,-0.0424242424242424,0.763252645609759,-1.8130695571032585,-0.1987547619691865,0.9065347789268934,-0.7077800162071786,0.7341707762858264,0.0290818693239326,0.4330757575757575
40,-0.2,-0.0383838383838384,0.83647801637887,-2.100294527752576,-0.3423653995298341,1.050147263822215,-0.7077818644005275,0.8077567076182796,0.0287213087605904,0.4371161616161615
41,-0.2,-0.0343434343434343,0.917882332129448,-2.42041093477982,-0.502412431533469,1.2102054672898357,-0.7077930359565157,0.8895726641581942,0.0283096679712538,0.4411565656565656
42,-0.2,-0.0303030303030303,1.0078431368997889,-2.774871074888741,-0.679645111295752,1.3874355374328076,-0.7077904261601816,0.9799886831934952,0.0278544537062936,0.4451969696969696
43,-0.2,-0.0262626262626262,1.1065929765618618,-3.164464145834993,-0.8744360862587941,1.5822320729012915,-0.7077959866749073,1.0792264981001576,0.0273664784617042,0.4492373737373737
44,-0.2,-0.0222222222222222,1.2140617162239986,-3.5888224627501084,-1.086608555731278,1.79441123135161,-0.7078026756672209,1.1872046838932702,0.0268570323307285,0.4532777777777778
45,-0.2,-0.0181818181818181,1.3298490366524425,-4.046269077770204,-1.315332291969015,2.023134538809103,-0.7078022469920859,1.3035101461667695,0.0263388904856726,0.4573181818181818
46,-0.2,-0.0141414141414141,1.4532191796020306,-4.533766105958297,-1.5590770885617102,2.266883053030689,-0.7078059643658977,1.427392541184214,0.0258266384178166,0.4613585858585858
47,-0.2,-0.0101010101010101,1.5830077268700264,-5.046619065078174,-1.8155043588984097,2.5233095325116643,-0.7078051736680979,1.5576732828853468,0.0253344439846795,0.4653989898989898
48,-0.2,-0.006060606060606,1.717700805807915,-5.578736107435714,-2.0815617224008367,2.789368053759848,-0.7078063312750295,1.6928244456647514,0.0248763601431636,0.4694393939393939
49,-0.2,-0.002020202020202,1.855446074598948,-6.122714795447168,-2.353548169739298,3.0613573978187034,-0.7078092278891654,1.830981666304852,0.0244644082940958,0.4734797979797979
50,-0.2,0.002020202020202,1.994161366434581,-6.670265478449039,-2.627319058476562,3.3351327390654077,-0.7078136809070669,1.9700535845360607,0.0241077818985202,0.4775202020202019
51,-0.2,0.006060606060606,2.1316444313343546,-7.21266049223297,-2.898517539303422,3.6063302460339983,-0.7078127068955495,2.1078325870709493,0.0238118442634052,0.481560606060606
52,-0.2,0.01010101010101,2.265789008762549,-7.7415497062356735,-3.162959081910065,3.870774853281116,-0.7078157710444898,2.242210431754732,0.0235785770078172,0.4856010101010101
53,-0.2,0.0141414141414141,2.3946419709360396,-8.249236902836115,-3.416800004548905,4.124618451365194,-0.7078184469220092,2.371236252549414,0.0234057183866255,0.4896414141414141
54,-0.2,0.0181818181818181,2.5165866164743016,-8.729363180789175,-3.656857528630205,4.364681590406867,-0.7078240617521003,2.4932984964005196,0.023288120073782,0.4936818181818181
