slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,potential_H1_ramp
-0.183333333,-0.1,0.010717717,1.7123100108730134,0.010717717,-5.565132009,46.65172465072946,-41.08659259,0.05,0.2
-0.183333333,0.1333333333333333,0.009999867,1.4293932560163023,0.009999867,-16.83616457,50.00066584325467,-33.16450142,0.2823836070935774,0.433333333
-0.183333333,-0.016666667,0.010003389,1.4411533941035355,0.010003389,-16.37066379,49.98306185894775,-33.61239825,0.155219942,0.283333333
-0.183333333,-0.066666667,0.010091683,1.628076936413896,0.010091683,-9.08247036,49.54574814440683,-40.46327786,0.054396486,0.233333333
-0.183333333,0.1166666666666666,0.009999852,1.4296129741318022,0.009999852,-16.827593,50.00074167335606,-33.17314882,0.2492167874575062,0.416666667
-0.183333333,0,0.010000871,1.4321905794165146,0.010000871,-16.72505432,49.99564603327672,-33.2705919,0.1924194279272469,0.3
-0.183333333,0.1,0.009999839,1.4304006912233207,0.009999839,-16.7967957,50.00080699869008,-33.20401144,0.2163203512592448,0.4
-0.183333333,0.05,0.00999993,1.4293806001576672,0.00999993,-16.83655363,50.000350528362986,-33.16379709,0.2879574612886404,0.35
-0.183333333,-0.15,0.011596409,2.092997571508357,0.011596409,19.79481719677985,23.32197731983505,-43.11679449,0.050022116,0.15
-0.183333333,0.083333333,0.009999863,1.431518425607205,0.009999863,-16.75303062,50.000686200483145,-33.24765576,0.1981469343102459,0.383333333
-0.183333333,-0.133333333,0.011775414,1.976046265777883,0.011775414,11.238007811702062,31.223346106738035,-42.46135387,0.050002411,0.166666667
-0.183333333,0.016666667,0.010000148,1.430098011202099,0.010000148,-16.80811677,49.99925777034849,-33.19114118,0.2258454953748247,0.316666667
-0.183333333,-0.116666667,0.012017554,1.875767637457117,0.012017554,0.7433230891650453,40.86247984805596,-41.60580289,0.050005111,0.183333333
-0.183333333,-0.2,0.012243322,2.334503539502323,0.012243322,31.38668297961705,9.451905033967972,-40.83858803,0.050006396,0.1
-0.183333333,-0.05,0.010034808,1.5604028068895046,0.010034808,-11.71652161,49.826563000030255,-38.11004166,0.078476254,0.25
-0.166666667,-0.183333333,0.011695237,2.2138154779548067,0.011695237,26.655837305772323,16.096608045365535,-42.75244537,0.050011221,0.116666667
-0.166666667,-0.133333333,0.011775491,1.976035291186883,0.011775491,11.23703882138409,31.224033916737387,-42.46107275,0.050000022,0.166666667
-0.166666667,0.1499999999999999,0.009999568,1.4292844911522713,0.009999568,-16.84092362,50.00215992895557,-33.16123645,0.3213493857725583,0.45
-0.166666667,-0.15,0.011596603,2.0929688927061902,0.011596603,19.79266176741247,23.323412855079457,-43.11607457,0.050000803,0.15
-0.166666667,-0.1,0.010717608,1.712283123802638,0.010717608,-5.566138379,46.65219903,-41.08606062,0.05000231,0.2
-0.166666667,-0.016666667,0.01000311,1.4484920286472671,0.01000311,-16.0847466,49.98445600202018,-33.89970956,0.1416940901151818,0.283333333
-0.166666667,0.1666666666666666,0.009999517,1.4293227896117382,0.009999517,-16.83951092,50.00241502180323,-33.16290426,0.2922694684063081,0.466666667
-0.166666667,0.066666667,0.009999627,1.4350604617926874,0.009999627,-16.61491285,50.00186689418603,-33.3869542,0.1731096544818109,0.366666667
-0.166666667,0.1833333333333333,0.009999492,1.4292677733821255,0.009999492,-16.84170525,50.00253831747497,-33.16083322,0.385289372,0.483333333
-0.166666667,0.083333333,0.009999526,1.432298766,0.009999526,-16.72307259,50.00237108577726,-33.27929864,0.1899526347234298,0.383333333
-0.166666667,0.016666667,0.009999862,1.4309453667972911,0.009999862,-16.77544865,50.00069088804004,-33.2252424,0.205754678,0.316666667
-0.166666667,-0.033333333,0.010011307,1.4864086006287769,0.010011307,-14.59807685,49.94352808193734,-35.3454514,0.1098258873100208,0.266666667
-0.166666667,0.1166666666666666,0.009999488,1.4295094081622763,0.009999488,-16.83225791,50.00256154781603,-33.1703038,0.2548648943909646,0.416666667
-0.166666667,-0.2,0.012246323,2.3353586745387283,0.012246323,31.418991747512862,9.409590096113146,-40.82858183,0.050002872,0.1
-0.166666667,-0.166666667,0.01156003,2.1584331541138067,0.01156003,23.840643591253222,19.411837788496435,-43.2524814,0.050055538,0.133333333
-0.166666667,0.1,0.00999956,1.4303201528306948,0.00999956,-16.80041492,50.002200899334575,-33.20178613,0.2172098813839914,0.4
-0.166666667,0.033333333,0.009999677,1.4298172406558856,0.009999677,-16.81989371,50.00161256089689,-33.181719,0.2343396308949432,0.333333333
-0.166666667,-0.083333333,0.0102381,1.6550845518397783,0.0102381,-7.947356512,48.837186079782256,-40.88982958,0.050005983,0.216666667
-0.166666667,0.2,0.009999488,1.4292667352470898,0.009999488,-16.84175243,50.002557812994986,-33.16080552,0.4146020111473615,0.5
-0.166666667,0.05,0.009999632,1.4292836884611049,0.009999632,-16.84084765,50.00184104465709,-33.16099357,0.3309343427725527,0.35
-0.166666667,0,0.01000058,1.4348775247061747,0.01000058,-16.62048053,49.99710101723326,-33.37662065,0.1745245606072509,0.3
-0.166666667,-0.05,0.01003487,1.561650667,0.01003487,-11.66865276,49.826255854424595,-38.15760312,0.077990608,0.25
-0.166666667,-0.066666667,0.010091546,1.6282656813181045,0.010091546,-9.075457608,49.54642394162224,-40.47096637,0.054301585,0.233333333
-0.166666667,-0.116666667,0.012017675,1.8757633042391184,0.012017675,0.7426844364420475,40.862701571562255,-41.60538601,0.050007015,0.183333333
-0.166666667,0.1333333333333333,0.009999505,1.4301011317438284,0.009999505,-16.80907648,50.00247587900926,-33.19339954,0.2231958060862329,0.433333333
-0.15,-0.116666667,0.012018072,1.8757553645773948,0.012018072,0.7415032290094672,40.86250685421791,-41.60401013,0.050003316,0.183333333
-0.15,0.1,0.009999609,1.4355814558307816,0.009999609,-16.59457394,50.00195256,-33.40737877,0.17067743,0.4
-0.15,-0.016666667,0.010003257,1.4486132290309777,0.010003257,-16.07978371,49.98372242,-33.90393889,0.1414585705401005,0.283333333
-0.15,0.1166666666666666,0.009999588,1.4424918160856983,0.009999588,-16.32461548,50.00206156478425,-33.67744619,0.1511661326778327,0.416666667
-0.15,0.016666667,0.009999996,1.435178268241479,0.009999996,-16.60969421,50.00002137983131,-33.39032734,0.1725429303093556,0.316666667
-0.15,-0.066666667,0.010091731,1.6303406681451218,0.010091731,-8.996844535,49.54551528913094,-40.54867085,0.053367375,0.233333333
-0.15,0.083333333,0.009999643,1.437770072090529,0.009999643,-16.50897563,50.001782838846566,-33.49280735,0.1628919037189029,0.383333333
-0.15,0,0.010000717,1.4355423688679878,0.010000717,-16.59426333,49.996413102895474,-33.40214993,0.171352918,0.3
-0.15,0.1666666666666666,0.009999458,1.4301447155658438,0.009999458,-16.80744975,50.00270948442317,-33.19525985,0.2206485869180494,0.466666667
-0.15,-0.133333333,0.011775977,1.9760845887738163,0.011775977,11.240593788581847,31.218728811426267,-42.45932264,0.050024439,0.166666667
-0.15,-0.15,0.011596893,2.092989740234094,0.011596893,19.793493119030828,23.32150263718935,-43.1149958,0.050008123,0.15
