slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1
0.15959595959595957,-0.09090909090909093,-1.5926619921157716e-08,0.18302843763606277,-2.7318159208805453,1.3760707800873568,1.3557451417975315,-61091802.03305671,-1696159.5652200251,0.38459090909090904
0.16363636363636364,-0.09090909090909093,-1.592343570588454e-08,0.1823777325051028,-2.741562762056918,1.3797731889867464,1.3617895723643025,-61097791.73139403,-1702725.5985718844,0.38459090909090904
0.16767676767676765,-0.09090909090909093,-1.5919762443780966e-08,0.18179010369644275,-2.7504247475914942,1.3832721444601255,1.3671526023181229,-61105394.75903738,-1709612.910291799,0.38459090909090904
0.1717171717171717,-0.09090909090909093,-1.591603637398832e-08,0.1812572504760155,-2.7585103423399646,1.3865753705810455,1.3719349710726652,-61113114.93520512,-1716598.2234244063,0.38459090909090904
0.17575757575757572,-0.09090909090909093,-1.5913035609941923e-08,0.18077813412079335,-2.765821222414931,1.389645762268561,1.3761754612542147,-61118098.11320027,-1723463.0139069941,0.38459090909090904
0.1797979797979798,-0.09090909090909093,-1.5910162576438707e-08,0.1803385680837026,-2.772562770896826,1.3925556702862245,1.3800071003254,-61122739.70445921,-1730169.258325105,0.38459090909090904
0.1838383838383838,-0.09090909090909093,-1.590688344134335e-08,0.17992700047419016,-2.7789047709958035,1.3953652101011649,1.3835395603534064,-61129168.49671084,-1736697.320908367,0.38459090909090904
0.18787878787878787,-0.09090909090909093,-1.5904143111202973e-08,0.17954996451076824,-2.7847401767863804,1.3980001292279418,1.386740048519674,-61133813.37068693,-1742884.4185573054,0.38459090909090904
0.19191919191919193,-0.09090909090909093,-1.5901571502969856e-08,0.17920005971039146,-2.7901776421233264,1.4004983110434566,1.3896793302863508,-61138142.230022304,-1748724.0028676374,0.38459090909090904
0.19595959595959594,-0.09090909090909093,-1.5899014250168312e-08,0.17887302896465007,-2.795278879201528,1.402877192893012,1.3924016871617522,-61142785.46572021,-1754195.7096638991,0.38459090909090904
0.2,-0.09090909090909093,-1.58967642704007e-08,0.17857012888568088,-2.8000203794040206,1.4051140115041996,1.394906367533476,-61146647.00134189,-1759236.4218633051,0.38459090909090904
-0.2,-0.08686868686868687,-1.7611575294654876e-08,0.35062205375841954,1.4260369384869263,-0.011063805199981402,-1.4149731326728647,-56382399.265400544,-398438.52277281845,0.3886313131313131
-0.19595959595959597,-0.08686868686868687,-1.7604950107945963e-08,0.3506314796492028,1.4259986027991842,-0.011017510447167922,-1.4149810919118175,-56383074.2513103,-419131.59809178376,0.3886313131313131
-0.19191919191919193,-0.08686868686868687,-1.7598341329049284e-08,0.35064665235229636,1.4259368987904466,-0.010971760196152758,-1.414965138443228,-56382845.646894075,-440691.37300204905,0.3886313131313131
-0.1878787878787879,-0.08686868686868687,-1.7591404934249804e-08,0.35066096058950963,1.425878715083377,-0.010926552652684052,-1.4149521629139363,-56382792.44248038,-463150.4334656815,0.3886313131313131
-0.18383838383838386,-0.08686868686868687,-1.758399593137706e-08,0.350671758577793,1.4258348094165219,-0.010881753449734077,-1.4149530556273022,-56383357.28331815,-486537.5860038973,0.3886313131313131
-0.17979797979797982,-0.08686868686868687,-1.757646278470035e-08,0.3506862499436653,1.4257758898606339,-0.010836917547440095,-1.4149389718836471,-56383400.85283228,-510868.04810166714,0.3886313131313131
-0.17575757575757578,-0.08686868686868687,-1.7568915908356613e-08,0.35070691061412934,1.425691895396537,-0.010791738665947292,-1.4149001560341563,-56382546.0950685,-536162.2200161131,0.3886313131313131
-0.1717171717171717,-0.08686868686868687,-1.7560505698159788e-08,0.35071706076762127,1.4256506337411983,-0.010746489245462953,-1.4149041447967783,-56383497.899382696,-562470.3539571115,0.3886313131313131
-0.1676767676767677,-0.08686868686868687,-1.7552132423703267e-08,0.3507349671347271,1.4255778488176527,-0.010700351938552899,-1.4148774971467981,-56383345.5055443,-589788.9182565756,0.3886313131313131
-0.16363636363636364,-0.08686868686868687,-1.754332682297984e-08,0.35075156962227555,1.4255103706183965,-0.010653337755023529,-1.4148570328221222,-56383574.52401213,-618156.6807049455,0.3886313131313131
-0.15959595959595962,-0.08686868686868687,-1.7534389541399586e-08,0.3507732092832464,1.4254224289264723,-0.010604970674751968,-1.4148174583722604,-56383198.30380728,-647586.693808354,0.3886313131313131
-0.15555555555555556,-0.08686868686868687,-1.7524850269562387e-08,0.35079083151102247,1.4253508217459037,-0.01055522415819965,-1.4147955978433282,-56383709.09322868,-678119.3742490615,0.3886313131313131
-0.15151515151515152,-0.08686868686868687,-1.7515161527582654e-08,0.3508138680857173,1.4252572248834516,-0.010503494866110685,-1.4147537295699315,-56383632.314737625,-709760.6537036147,0.3886313131313131
-0.14747474747474748,-0.08686868686868687,-1.750516049237865e-08,0.350839469918087,1.425153219425194,-0.010449533285282087,-1.414703685825294,-56383472.79258165,-742538.7304419441,0.3886313131313131
-0.14343434343434344,-0.08686868686868687,-1.7494601205076636e-08,0.3508631461683934,1.4250570500519935,-0.010393115045946644,-1.41466393471709,-56384005.18047533,-776486.1206820162,0.3886313131313131
-0.1393939393939394,-0.08686868686868687,-1.7484052243466174e-08,0.35089677743302733,1.4249204669589952,-0.010333513325711863,-1.4145869538938964,-56383380.066120684,-811598.8824066527,0.3886313131313131
-0.13535353535353536,-0.08686868686868687,-1.747263830738242e-08,0.35092332130551784,1.4248126856324208,-0.010270835383099808,-1.4145418509311576,-56384403.61908654,-847937.7370260498,0.3886313131313131
-0.13131313131313133,-0.08686868686868687,-1.746124185664078e-08,0.3509610622817894,1.4246594672952688,-0.010204130441106685,-1.4144553366731978,-56384214.27695477,-885480.9835621399,0.3886313131313131
-0.1272727272727273,-0.08686868686868687,-1.7449489813300366e-08,0.3510031379222198,1.4244886894933324,-0.010133177265075233,-1.414355512530988,-56384000.92863643,-924264.8544570693,0.3886313131313131
-0.12323232323232325,-0.08686868686868687,-1.7437111750237683e-08,0.35104479189219295,1.4243196641524452,-0.01005767018682846,-1.4142619934508491,-56384624.816716485,-964322.3210667562,0.3886313131313131
-0.11919191919191921,-0.08686868686868687,-1.7424337863499548e-08,0.35109140479926504,1.4241305632643946,-0.009977008239879126,-1.4141535546026032,-56385330.88835242,-1005659.1070147533,0.3886313131313131
-0.11515151515151516,-0.08686868686868687,-1.7411664170560387e-08,0.3511538109452338,1.4238774705287032,-0.009890436256998925,-1.4139870337294123,-56384502.31170513,-1048261.7368226573,0.3886313131313131
-0.11111111111111112,-0.08686868686868687,-1.7397964657237414e-08,0.35121022386952644,1.423648761051615,-0.009798124032808886,-1.4138506365603252,-56385775.39624495,-1092212.385734357,0.3886313131313131
-0.10707070707070708,-0.08686868686868687,-1.7384500276897012e-08,0.3512870955150451,1.4233372260532562,-0.009698897176058097,-1.4136383284291911,-56385057.145821825,-1137447.6183180897,0.3886313131313131
-0.10303030303030304,-0.08686868686868687,-1.7370200872072012e-08,0.35136392794071747,1.423025986131417,-0.009592913208276599,-1.4134330726450948,-56385809.924560815,-1184048.2114962284,0.3886313131313131
-0.098989898989899,-0.08686868686868687,-1.735566975016287e-08,0.3514541290359806,1.4226607649199137,-0.009479417585563255,-1.4131813470578407,-56386072.150613494,-1231986.639115202,0.3886313131313131
-0.09494949494949496,-0.08686868686868687,-1.7340791193071028e-08,0.35155669850500076,1.4222456919697555,-0.009358093985152749,-1.4128875983723213,-56386215.223168634,-1281280.3868111747,0.3886313131313131
-0.09090909090909093,-0.08686868686868687,-1.732546939281267e-08,0.3516711509520982,1.4217828181186012,-0.0092286542503075,-1.4125541635743475,-56386548.616900146,-1331945.314054588,0.3886313131313131
-0.08686868686868687,-0.08686868686868687,-1.7309770973075794e-08,0.3518004163179878,1.421260398939157,-0.009090775177352128,-1.4121696235169792,-56386855.48038233,-1383983.981065995,0.3886313131313131
-0.08282828282828283,-0.08686868686868687,-1.7293608614817746e-08,0.3519444228214769,1.4206788558162264,-0.008944265924743178,-1.4117345903181526,-56387421.875316404,-1437409.3830460866,0.3886313131313131
-0.0787878787878788,-0.08686868686868687,-1.7276916637482008e-08,0.35210365064139754,1.42003639876252,-0.008788969990465745,-1.4112474284997105,-56388466.18844529,-1492232.1434847903,0.3886313131313131
-0.07474747474747476,-0.08686868686868687,-1.7259970752898365e-08,0.35228565183280813,1.4193027658815742,-0.00862460115712338,-1.4106781645728814,-56389094.31072768,-1548431.4427314284,0.3886313131313131
-0.07070707070707072,-0.08686868686868687,-1.724268921614101e-08,0.3524908058715204,1.4184767135854779,-0.008451076731425644,-1.4100256375251001,-56389579.61939089,-1606014.1922688633,0.3886313131313131
-0.06666666666666668,-0.08686868686868687,-1.7224761393254812e-08,0.35271488067961043,1.4175755756931108,-0.008268402052618029,-1.4093071734424538,-56390948.10568639,-1665008.500574545,0.3886313131313131
-0.06262626262626264,-0.08686868686868687,-1.7206757118938323e-08,0.35297172632325735,1.4165440538201843,-0.008076094478401075,-1.4084679588326452,-56391346.94908216,-1725356.4534065656,0.3886313131313131
-0.0585858585858586,-0.08686868686868687,-1.718815519588921e-08,0.3532529036336439,1.4154165328097386,-0.007874050575686908,-1.4075424818597877,-56392497.494025104,-1787102.8530304148,0.3886313131313131
-0.054545454545454564,-0.08686868686868687,-1.7169137056544793e-08,0.35356440023643837,1.4141695249435693,-0.0076615873165017945,-1.4065079380834369,-56393823.70386495,-1850221.8009616756,0.3886313131313131
-0.050505050505050525,-0.08686868686868687,-1.7149949581276256e-08,0.3539136280349591,1.412774078992057,-0.00743762423778449,-1.4053364553768712,-56394535.008790635,-1914674.313420247,0.3886313131313131
