slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,D_to_H1_flux,L1_to_D_flux
-0.1947839783978397,-4.681020200791863e-06,4.196831963398928e-06,-1.2171792649562365e-05,1.6287509513241716,47506.73984516036,1.9221135065899222e-10,7.700202813448895e-08
-0.1947759775977597,-4.74944977213454e-06,4.200339412507859e-06,-1.2170416128443051e-05,1.6265872945393374,47348.0245658611,1.9237378769094988e-10,7.702599899383046e-08
-0.1947679767976797,-4.746010006329016e-06,4.2060831919599195e-06,-1.2156355546855124e-05,1.626441401226445,47374.3955358182,1.924675477941245e-10,7.701877159792974e-08
-0.1947599759975997,-4.72513168858768e-06,4.212262115055321e-06,-1.2148536933320742e-05,1.626922861692144,47424.98742286936,1.9256105171082406e-10,7.70101739549058e-08
-0.1947519751975197,-4.737428582757275e-06,4.216740293216947e-06,-1.214058018028652e-05,1.6263910546398974,47405.162172489014,1.9266211301492788e-10,7.700917167011635e-08
-0.1947439743974397,-4.761293382671283e-06,4.222508485307586e-06,-1.2132394280550685e-05,1.6254896438817077,47357.01415946716,1.9280000146744598e-10,7.701767847982069e-08
-0.1947359735973597,-4.769620133515673e-06,4.228719008181336e-06,-1.2120487794975432e-05,1.625009414444898,47351.1148606232,1.9285113153580815e-10,7.699376314697187e-08
-0.1947279727972797,-4.816630195136895e-06,4.23334893795424e-06,-1.2116263823580551e-05,1.6234676271809096,47245.04022972087,1.9299698916426547e-10,7.70083787780785e-08
-0.1947199719971997,-4.811014804317892e-06,4.239869733135837e-06,-1.2104860296568988e-05,1.6234205265539308,47268.484652537394,1.9308920404739102e-10,7.69984198506241e-08
-0.1947119711971197,-4.8436926078920806e-06,4.24393042525173e-06,-1.2099268266840824e-05,1.6223062736629132,47198.99610759438,1.9322817053006975e-10,7.701213777550498e-08
-0.1947039703970397,-4.8685263038805715e-06,4.248547610663511e-06,-1.2091855841278589e-05,1.6214029908780785,47149.95105896192,1.9335130520125308e-10,7.701854237119017e-08
-0.1946959695969597,-4.853803815763058e-06,4.253982330781891e-06,-1.208024879417735e-05,1.6216376693325378,47196.4485049084,1.9341787512037782e-10,7.700235631796e-08
-0.1946879687968797,-4.875654880720504e-06,4.2607596108523715e-06,-1.2069724589780506e-05,1.6207628368493048,47156.15587371597,1.9353653212278258e-10,7.700098947010874e-08
-0.1946799679967996,-4.900376481487001e-06,4.264532556086387e-06,-1.206460323466274e-05,1.6199056179786029,47104.23806145542,1.9367410790212823e-10,7.701491928265307e-08
-0.1946719671967196,-4.954043149041354e-06,4.268923104899791e-06,-1.2057225931672022e-05,1.618136331002795,46992.05680464046,1.938072403700195e-10,7.702551163806926e-08
-0.1946639663966396,-4.950493689648283e-06,4.274879246535246e-06,-1.2044380744535845e-05,1.6180056647539534,47015.11898120762,1.9386190334670671e-10,7.700355187154452e-08
-0.1946559655965596,-4.994935295599134e-06,4.279613606106292e-06,-1.2040111620148508e-05,1.6165664385374614,46916.06507055082,1.9403552057378209e-10,7.702755672650595e-08
-0.1946479647964796,-4.970482692101541e-06,4.286202811565332e-06,-1.2029507915345404e-05,1.617093853168696,46978.80829678198,1.9409406132148412e-10,7.700519672246667e-08
-0.1946399639963996,-4.987544755863382e-06,4.290387056515854e-06,-1.202423342649972e-05,1.6164691068198869,46943.58478521622,1.9424159624052552e-10,7.702139897874592e-08
-0.1946319631963196,-5.003783002166529e-06,4.296708743856126e-06,-1.2012340883327257e-05,1.6157541814120588,46920.08882117808,1.9431064195119344e-10,7.700352237810126e-08
-0.1946239623962396,-5.028524086014841e-06,4.300678796698154e-06,-1.2007598447993928e-05,1.614910565238734,46867.3811271255,1.9448016459473216e-10,7.702814181406705e-08
-0.1946159615961596,-5.042740866656459e-06,4.307067266562381e-06,-1.1997233275051755e-05,1.614280742871743,46844.89905999642,1.945710484190715e-10,7.701785582829949e-08
-0.1946079607960796,-5.057943283759414e-06,4.312736256839589e-06,-1.1987554427106415e-05,1.613637712991383,46820.35047991531,1.946706785723985e-10,7.701270775083278e-08
-0.1945999599959996,-5.077837087696935e-06,4.3171058678459495e-06,-1.1980738870320806e-05,1.6129084502300444,46782.13346112036,1.947963436686497e-10,7.702047417887706e-08
-0.1945919591959196,-5.087485746457787e-06,4.321908990578827e-06,-1.1973326176306642e-05,1.6124732133917332,46766.73301085736,1.9492400189852071e-10,7.702769988426265e-08
-0.1945839583958395,-5.102008131530056e-06,4.328639767625653e-06,-1.196106956435905e-05,1.611805455220782,46747.06468545959,1.9498163310344577e-10,7.700462835099914e-08
-0.1945759575957595,-5.1240047866940586e-06,4.33333786470369e-06,-1.1955158644827437e-05,1.6110280265409174,46701.69010923961,1.9514041940561078e-10,7.702319496116251e-08
-0.1945679567956795,-5.1392215851819856e-06,4.3389910043822866e-06,-1.1944162481514198e-05,1.6103682541706033,46680.164859500655,1.9521799860578895e-10,7.701020003183828e-08
-0.1945599559955995,-5.210398796862137e-06,4.3416421582342934e-06,-1.1944124250096166e-05,1.608250187390611,46519.92531944445,1.9541635003441062e-10,7.704845162879656e-08
-0.1945519551955195,-5.173486385956494e-06,4.349617433063724e-06,-1.1928755339063455e-05,1.6090436071482828,46616.00622262017,1.9544462567537139e-10,7.701146833742145e-08
-0.1945439543954395,-5.195536473934226e-06,4.355127821820126e-06,-1.1916223421115646e-05,1.6081622946742025,46583.371245480485,1.9557399261195148e-10,7.701720590314456e-08
-0.1945359535953595,-5.2477752205959405e-06,4.359692803435067e-06,-1.1913353026971052e-05,1.6065537520016178,46466.62864906995,1.9569254961307868e-10,7.702174187557229e-08
-0.1945279527952795,-5.273982836229152e-06,4.363937020579467e-06,-1.1906701536723574e-05,1.6056564064012584,46415.296965961315,1.9584117632416963e-10,7.703789724867278e-08
-0.1945199519951995,-5.303322865302107e-06,4.370426815891726e-06,-1.1898809795463094e-05,1.6046357031453544,46355.18567382199,1.9594589981254326e-10,7.703212317634467e-08
