slopeL,slopeH,F_sc,F_yield,fluxD,fluxHR,fluxLR,D_H1_flux,L1_D_flux,potential_H1,F_sc_inv
-0.2,0.0545454545454545,-2.430385281112049e-07,0.0970458427200044,-3.7365977766968728,5.152204215905115,-1.4156064392479817,-4080430.6553816553,-34143.30855561549,0.5300454545454545,-4114573.9639372705
-0.2,-0.103030303030303,-1.62804245906334e-08,0.2958632398249481,1.689970002038545,-0.2752895958141614,-1.4146804061561211,-61008331.79004507,-415127.6801292515,0.3724696969696969,-61423459.47017432
-0.2,0.0828282828282828,-5.460966473221419e-07,0.0928805848325786,-3.967629328621621,5.38325637044484,-1.4156270420251649,-1813606.5519467096,-17571.14325364383,0.5583282828282827,-1831177.6952003532
-0.2,-0.0505050505050505,-2.2727543803580693e-08,0.3533048809517813,0.7112865571766775,0.7039217429769487,-1.4152083001097562,-43649675.93597462,-349799.26655262144,0.4249949494949494,-43999475.202527225
-0.2,-0.0707070707070707,-1.9402714917631724e-08,0.3533324610206799,1.1649959647555015,0.2501018685382696,-1.415097833165167,-51158125.28713601,-381053.85584440856,0.4047929292929292,-51539179.14298042
-0.2,-0.107070707070707,-1.6001091324488877e-08,0.2836470412028799,1.7627541536445783,-0.3482206410344268,-1.4145335122620324,-62076153.08210937,-419584.2223549552,0.3684292929292929,-62495737.304464325
-0.2,-0.1111111111111111,-1.573918510225424e-08,0.2719595038483196,1.838509017127555,-0.4241241716630455,-1.4143848445917948,-63111510.212822765,-424180.7078447449,0.3643888888888889,-63535690.92066751
-0.2,0.0868686868686868,-6.028356863081455e-07,0.0925927596648578,-3.984357590476399,5.399990256397878,-1.4156326658518614,-1642452.510865444,-16374.301668079395,0.5623686868686868,-1658826.8125335232
-0.2,-0.0464646464646464,-2.3618176142708e-08,0.3533004289940841,0.5886867946110188,0.8265393389582165,-1.4152261329258742,-41999001.435190655,-341270.47902086633,0.4290353535353535,-42340271.91421152
-0.2,-0.1151515151515151,-1.5493521412911776e-08,0.2608783429801758,1.916602177010764,-0.5023986352563874,-1.414203541058529,-64114229.49583041,-428876.8354800309,0.3603484848484848,-64543106.33131044
-0.2,-0.0424242424242424,-2.4613619814023937e-08,0.3532924970362453,0.4523146878748028,0.9629432194001488,-1.415257907210084,-40296147.3840832,-331765.43637228,0.4330757575757575,-40627912.82045548
-0.2,0.0909090909090908,-6.623829671065485e-07,0.0923495771172968,-3.9985890312939594,5.414209957562441,-1.415620926156961,-1494347.7429424126,-15352.91311196254,0.5664090909090909,-1509700.6560543752
-0.2,-0.1191919191919192,-1.5262204145954467e-08,0.2504866644984942,1.9961142482045595,-0.5820805905044928,-1.4140336577744852,-65087702.25946212,-433633.35083822894,0.3563080808080807,-65521335.61030035
-0.2,-0.1232323232323232,-1.5044370542388887e-08,0.2408813484865708,2.075710731146944,-0.6618755479917802,-1.4138351832654106,-66031677.1114517,-438368.7560313307,0.3522676767676767,-66470045.86748304
-0.2,-0.0383838383838384,-2.5732532369158157e-08,0.353291539930764,0.3011406911169603,1.114121050240417,-1.4152617413050546,-38540111.895103075,-321201.3116202016,0.4371161616161615,-38861313.20672327
-0.2,0.0666666666666666,-3.515665494210636e-07,0.09465335246565,-3.866802819714139,5.282433077782752,-1.415630258331057,-2819611.3798805615,-24800.30162535356,0.5421666666666667,-2844411.6815059152
-0.2,-0.1838383838383838,-1.2832437398707688e-08,0.183023827984673,2.731884724676895,-1.3196323781312067,-1.4122523473847068,-77449927.1514414,-477591.131305636,0.2916616161616161,-77927518.28274702
-0.2,0.1111111111111111,-9.94066271540462e-07,0.0915802739694828,-4.04406921158621,5.459691026573445,-1.4156218149365027,-993869.8107481068,-12099.337013382656,0.5866111111111111,-1005969.1477614896
-0.2,-0.1595959595959596,-1.3520230906111638e-08,0.1917910331247802,2.607004049527587,-1.1944706878771818,-1.4125333614482931,-73493226.82788663,-470007.0062310709,0.3159040404040403,-73963233.8341177
