slopeH,NADPH_flux,NAD_flux,Fd_flux,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,FeS_H1_pot,S_FAD_mid_pot
-0.0995499549954995,-5.558879614397938e-05,4.065240827344496e-05,1.4927259151198411e-05,-0.0001111684635686,1.5395065884434997e-07,7.035850631025179e-08,8.359215253409815e-08,-0.0595499549954995,-0.1590999099909991
-0.0995299529952995,-5.5351410850335014e-05,4.052539412668921e-05,1.483605243923769e-05,-0.0001107128574162,1.5365609064954265e-07,7.017324848541776e-08,8.348284216412485e-08,-0.0595299529952995,-0.159059905990599
-0.0995099509950995,-5.525965697472657e-05,4.050996413695884e-05,1.4787233548085864e-05,-0.0001105568546597,1.5378431033963584e-07,7.018115537040931e-08,8.36031549692265e-08,-0.0595099509950995,-0.159019901990199
-0.0994899489948994,-5.5001497784701314e-05,4.035285483894313e-05,1.4686625570581311e-05,-0.0001100409781942,1.533742525982959e-07,6.994351626209703e-08,8.343073633619883e-08,-0.0594899489948994,-0.1589798979897989
-0.0994699469946994,-5.50584633458584e-05,4.03980766350287e-05,1.4656013630265363e-05,-0.0001101125536111,1.537328671265031e-07,7.00564340127651e-08,8.367643311373799e-08,-0.0594699469946994,-0.1589398939893989
-0.0994499449944994,-5.483112285276093e-05,4.0290373135576374e-05,1.4577821870309648e-05,-0.0001096993178586,1.5350972443047e-07,6.990423691218619e-08,8.360548751828382e-08,-0.0594499449944994,-0.1588998899889989
-0.0994299429942994,-5.47939811355036e-05,4.026283170333045e-05,1.451920190942424e-05,-0.0001095760147482,1.5359161689405453e-07,6.989098958595264e-08,8.370062730810188e-08,-0.0594299429942994,-0.1588598859885988
-0.0994099409940994,-5.4439373371906186e-05,4.006459943184382e-05,1.4410182166635366e-05,-0.0001089141549703,1.5302194920941686e-07,6.95814469626714e-08,8.344050224674544e-08,-0.0594099409940994,-0.1588198819881988
-0.0993899389938994,-5.430175832543682e-05,3.9980189058042015e-05,1.4336624887922866e-05,-0.0001086185722714,1.528856992099535e-07,6.946922734316174e-08,8.341647186679175e-08,-0.0593899389938994,-0.1587798779877988
-0.0993699369936993,-5.419720298505126e-05,3.993150797043654e-05,1.4270801452775927e-05,-0.0001083995124082,1.5288589754245724e-07,6.94190702811694e-08,8.346682726128782e-08,-0.0593699369936993,-0.1587398739873987
-0.0993499349934993,-5.407265635426483e-05,3.987137534977592e-05,1.4206305538833064e-05,-0.0001081503372428,1.528422449212195e-07,6.934902044638795e-08,8.349322447483155e-08,-0.0593499349934993,-0.1586998699869987
-0.0993299329932993,-5.38444526512194e-05,3.976720036291681e-05,1.413119805859786e-05,-0.0001077428510727,1.526292314554861e-07,6.920224447731615e-08,8.342698697816994e-08,-0.0593299329932993,-0.1586598659865986
-0.0993099309930993,-5.367603846195834e-05,3.9667118230113374e-05,1.4053865561969305e-05,-0.000107397022254,1.524309073794557e-07,6.906226690350315e-08,8.336864047595255e-08,-0.0593099309930993,-0.1586198619861986
