slopeL,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,D_to_H1_flux,L1_to_D_flux,FeS_L2_pot
-0.0781078107810781,-0.001019239424437,0.0010190352632739,1.713154079334739e-07,0.7068462912085972,490.5697764228026,1.3466371144661358e-07,2.358116003246661e-07,-1.0672156215621562
-0.078067806780678,-0.00101923941844,0.0010190342249332,1.7185144342383897e-07,0.7068452031406798,490.5698987501715,1.3466361424636154e-07,2.3581144623820578e-07,-1.067135613561356
-0.078027802780278,-0.0010192393924057,0.0010190341555104,1.7238914513758925e-07,0.7068447999861046,490.5697923201286,1.3466350811986618e-07,2.3581126919639358e-07,-1.067055605560556
-0.0779877987798779,-0.0010192392815895,0.0010190327301752,1.7292848931012078e-07,0.7068435138403173,490.57003221059864,1.3466337163206018e-07,2.3581103075862465e-07,-1.066975597559756
-0.0779477947794779,-0.0010192391529812,0.0010190324077261,1.7346949134949414e-07,0.7068430039949566,490.5700105646132,1.3466321177543668e-07,2.3581077048472586e-07,-1.066895589558956
-0.0779077907790779,-0.0010192392657017,0.0010190320618516,1.740125044643388e-07,0.7068423091472165,490.5699359942589,1.3466329898076096e-07,2.3581092047878386e-07,-1.066815581558156
-0.0778677867786778,-0.0010192392698371,0.001019031198543,1.7455689408953906e-07,0.7068413296828532,490.5700117497421,1.3466313680140925e-07,2.358106540626629e-07,-1.0667355735573558
-0.0778277827782778,-0.001019239245906,0.001019031114416,1.7510314941862066e-07,0.7068409089343621,490.5699062936833,1.34663099624214e-07,2.3581059928131525e-07,-1.0666555655565555
-0.0777877787778777,-0.0010192391505796,0.0010190307135143,1.756510042310155e-07,0.706840316828938,490.56989386924266,1.3466297831111985e-07,2.35810384951378e-07,-1.0665755575557556
-0.0777477747774777,-0.001019239070672,0.0010190290776737,1.7620054243463948e-07,0.706838856140249,490.5701745281348,1.3466283423832545e-07,2.358101441427029e-07,-1.0664955495549555
-0.0777077707770777,-0.0010192390754326,0.0010190284774051,1.767518310082289e-07,0.7068380539362755,490.5701851699365,1.3466271353545856e-07,2.358099437880775e-07,-1.0664155415541554
-0.0776677667766776,-0.0010192388786833,0.001019027704947,1.773048036221285e-07,0.7068372708513041,490.57028534065086,1.3466256200745412e-07,2.358096832714258e-07,-1.0663355335533553
-0.0776277627762776,-0.0010192388044742,0.0010190266091049,1.778594817001273e-07,0.7068361772614263,490.57043343590715,1.34662392195348e-07,2.3580940436857553e-07,-1.0662555255525552
-0.0775877587758775,-0.0010192387941998,0.0010190269252213,1.7841604299133768e-07,0.7068360175553738,490.5702258905816,1.3466233369801974e-07,2.358093018442497e-07,-1.066175517551755
-0.0775477547754775,-0.0010192388885741,0.0010190264187623,1.7897434159413333e-07,0.7068352134225094,490.57019070287777,1.3466227250789776e-07,2.35809198095182e-07,-1.0660955095509552
-0.0775077507750775,-0.0010192386861263,0.0010190247654608,1.795342579111023e-07,0.7068338183978742,490.5705025570986,1.34662114875426e-07,2.358089424332624e-07,-1.0660155015501551
-0.0774677467746774,-0.0010192384913523,0.0010190242182426,1.8009579482614437e-07,0.7068331842573675,490.5705459853639,1.3466185869046577e-07,2.358084991733588e-07,-1.065935493549355
-0.0774277427742774,-0.0010192386020975,0.001019023448044,1.806594341469182e-07,0.7068321821008259,490.570569043925,1.3466186110851193e-07,2.358085181091124e-07,-1.065855485548555
-0.0773877387738773,-0.0010192387522067,0.0010190236075861,1.812249052678464e-07,0.7068317963709226,490.5703584374914,1.3466191368692566e-07,2.3580861977905978e-07,-1.0657754775477548
-0.0773477347734773,-0.0010192385012572,0.0010190225858484,1.8179173349694266e-07,0.7068308683233406,490.57052830904746,1.3466166069842798e-07,2.3580817810791893e-07,-1.0656954695469547
-0.0773077307730773,-0.0010192385886114,0.0010190225058228,1.823606769653185e-07,0.70683035750621,490.57038962380926,1.3466166058875193e-07,2.358081888032481e-07,-1.0656154615461546
-0.0772677267726772,-0.0010192383274159,0.0010190211217921,1.8293099994568506e-07,0.7068291828027752,490.5706483094043,1.3466136554748477e-07,2.358076757566388e-07,-1.0655354535453545
-0.0772277227722772,-0.0010192384738303,0.0010190212252297,1.835035812668566e-07,0.706828755780836,490.5704503830288,1.3466141882793778e-07,2.358077865786349e-07,-1.0654554455445546
-0.0771877187718771,-0.0010192384354041,0.0010190205096741,1.8407772390844576e-07,0.7068278876903012,490.5704936629958,1.3466130348962814e-07,2.358075902754561e-07,-1.0653754375437543
-0.0771477147714771,-0.0010192380377134,0.0010190181716489,1.846533650485921e-07,0.7068261421298134,490.5710135058966,1.3466097152033032e-07,2.358070163183959e-07,-1.0652954295429544
-0.0771077107710771,-0.0010192381334945,0.0010190185354975,1.8523127912316725e-07,0.7068259271769152,490.5707638108036,1.3466098266167726e-07,2.3580704884665658e-07,-1.0652154215421543
-0.077067706770677,-0.0010192379475171,0.0010190170049852,1.858106923849099e-07,0.7068245923850781,490.5710374594017,1.3466077019578068e-07,2.358066795704053e-07,-1.0651354135413542
-0.077027702770277,-0.0010192380829892,0.0010190173683552,1.8639221571505733e-07,0.7068243470722237,490.5707774588621,1.346607723383065e-07,2.3580669470359074e-07,-1.065055405540554
-0.0769876987698769,-0.0010192380457283,0.0010190162209871,1.8697540416921074e-07,0.7068231723331343,490.5709222014001,1.346606636691157e-07,2.358065242925693e-07,-1.064975397539754
