slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield,slopeH_rounded
-0.155044004,-0.000523178,0.000227341,0.000245408,0.072400473,1004.0897401000708,-0.155044
-0.155036004,-0.000523016,0.000227191,0.000245332,0.072538112,1004.4808880027856,-0.155036
-0.155028003,-0.000522872,0.000227,0.000245266,0.072758962,1004.8864325175322,-0.155028
-0.155020002,-0.00052284,0.000226903,0.000245251,0.072903802,1005.0317416366524,-0.15502
-0.155012001,-0.000522715,0.000226716,0.000245179,0.073142934,1005.418468110258,-0.155012
-0.155004,-0.000522636,0.000226658,0.000245154,0.073173716,1005.5823898728504,-0.155004
-0.154996,-0.000522481,0.000226649,0.000245084,0.073071485,1005.8191948899738,-0.154996
-0.154987999,-0.000522444,0.00022654,0.000245064,0.073236144,1005.9875073099464,-0.154988
-0.154979998,-0.000522139,0.000226368,0.000244923,0.073302389,1006.6126957387676,-0.15498
-0.154971997,-0.000522143,0.000226238,0.000244919,0.073535662,1006.7452981255752,-0.154972
-0.154963996,-0.000521884,0.000226054,0.000244797,0.073661594,1007.3179346134614,-0.154964
-0.154955996,-0.000521844,0.00022598,0.000244779,0.07375963,1007.4520193320702,-0.154956
-0.154947995,-0.000521788,0.000225861,0.000244751,0.073925543,1007.6586243908258,-0.154948
-0.154939994,-0.000521537,0.000225686,0.000244632,0.074043001,1008.2116741085608,-0.15494
-0.154931993,-0.000521439,0.000225626,0.000244584,0.074074686,1008.4211538971616,-0.154932
-0.154923992,-0.00052122,0.00022541,0.000244484,0.074283649,1008.9655375781113,-0.154924
-0.154915992,-0.000521219,0.000225281,0.000244477,0.074513498,1009.1051866028278,-0.154916
-0.154907991,-0.000521115,0.000225197,0.00024443,0.074579639,1009.3442859943948,-0.154908
-0.15489999,-0.000520962,0.000225043,0.000244355,0.074736019,1009.7347833409468,-0.1549
-0.154891989,-0.000520817,0.000224891,0.000244281,0.074896496,1010.112109,-0.154892
