,slopeL,slopeH,F,F_sc,F_yield,fluxD,fluxHR,fluxLR,potential_H1,D_H1_flux,L1_D_flux
8,0.0333333333333333,0.0,0.3466566128746431,0.3466566128746431,-6.594668006348383,-3.297334002851559,2.644733574077268,0.6526004294195524,0.675,0.2964200270705723,0.0502365858040707
9,0.0333333333333333,0.0166666666666666,0.7529722271149686,0.7529722271149686,-7.571707955373486,-3.7858539776142153,3.088723314196283,0.6971306635629894,0.675,0.6988432598691443,0.0541289672458242
10,0.0333333333333333,0.0333333333333333,1.1872976757178155,1.1872976757178155,-7.951041249372731,-3.975520624597184,3.3875736021072385,0.5879470226683053,0.675,1.1385523408463811,0.0487453348714346
11,0.0333333333333333,0.0499999999999999,1.4768161988839217,1.4768161988839217,-8.121131016684263,-4.060565508282557,3.587480722351444,0.4730847860502604,0.675,1.4342847827230132,0.0425314161609085
12,0.0333333333333333,0.0666666666666666,1.6470482215283813,1.6470482215283813,-8.29474242702041,-4.1473712133871175,3.7502586637494457,0.3971125498838425,0.675,1.608594943401502,0.0384532781268794
13,0.0333333333333333,0.0833333333333333,1.825257100607412,1.825257100607412,-8.69371467734889,-4.3468573385206035,4.013920583427193,0.3329367554010871,0.6749993800140239,1.7899227758454206,0.0353343247619914
14,0.0333333333333333,0.0999999999999999,2.1272880337201587,2.1272880337201587,-9.544728694498863,-4.772364347377214,4.527223604852555,0.245140742269093,0.674999723976339,2.095816707123524,0.031471326596635
15,0.0333333333333333,0.1166666666666666,2.471180498078114,2.471180498078114,-10.548472289136805,-5.274236144576217,5.123248999982515,0.1509871445780691,0.675,2.4437352356241635,0.0274452624539501
16,0.0499999999999999,-0.0333333333333333,0.0285144210356411,0.0285144210356411,-2.7976352323234916,-1.3988176163672277,1.0383531811327948,0.3604644348234685,0.675,0.0110493450531183,0.0174650759825228
17,0.0499999999999999,-0.0166666666666666,0.085623407277529,0.085623407277529,-5.224508683881234,-2.6122543420320294,1.7566458726460468,0.8556084692031571,0.675,0.0471587214454457,0.0384646858320833
18,0.0499999999999999,0.0,0.2153940612125062,0.2153940612125062,-6.910681092622455,-3.455340545976135,2.286666394659413,1.1686741519869066,0.675,0.1577038436062612,0.057690217606245
19,0.0499999999999999,0.0166666666666666,0.4666124459496247,0.4666124459496247,-7.678699710090468,-3.839349854978981,2.6389550068291747,1.200394848282308,0.675,0.4031663920311704,0.0634460539184542
20,0.0499999999999999,0.0333333333333333,0.8337139376509763,0.8337139376509763,-7.986710571116072,-3.9933552855116226,2.9731667472393006,1.020188538365143,0.675,0.7768100928988936,0.0569038447520827
21,0.0499999999999999,0.0499999999999999,1.1917533828436768,1.1917533828436768,-8.140415433351867,-4.0702077164407235,3.291383269999045,0.7788244469120951,0.675,1.145578505074499,0.0461748777691774
22,0.0499999999999999,0.0666666666666666,1.4527137323779318,1.4527137323779318,-8.312721583527026,-4.156360791853469,3.560509287639153,0.5958515040343975,0.675,1.4148529805450158,0.0378607518329158
23,0.0499999999999999,0.0833333333333333,1.6858850782417245,1.6858850782417245,-8.71267476387176,-4.356337382075961,3.884891795828249,0.4714455859675452,0.675,1.653338003796431,0.0325470744452934
