t,F_sc_best,F_sc
50,4.200579416343698e-06,4.200579416343698e-06
51,4.200579416343698e-06,4.200579416343698e-06
52,4.200579416343698e-06,4.200579416343698e-06
53,4.200579416343698e-06,4.200579416343698e-06
54,4.200579416343698e-06,4.200579416343698e-06
55,4.200579416343698e-06,4.200579416343698e-06
56,4.200579416343698e-06,4.200579416343698e-06
57,4.200579416343698e-06,4.200579416343698e-06
58,4.200579416343698e-06,4.200579416343698e-06
59,4.200579416343698e-06,4.203117889795717e-06
60,4.200579416343698e-06,4.200579416343698e-06
61,4.200579416343698e-06,4.200579416343698e-06
62,4.200579416343698e-06,4.200751667121742e-06
63,4.200579416343698e-06,4.200579416343698e-06
64,4.200579416343698e-06,4.200579416343698e-06
65,4.200579416343698e-06,4.208317491455494e-06
66,4.200579416343698e-06,4.2023421213988934e-06
67,4.200579416343698e-06,4.200579416343698e-06
68,4.200579416343698e-06,4.200579416343698e-06
69,4.200579416343698e-06,4.200579416343698e-06
70,4.200579416343698e-06,4.200579416343698e-06
71,4.200579416343698e-06,4.200579416343698e-06
72,4.200579416343698e-06,4.200579416343698e-06
73,4.200579416343698e-06,4.200579416343698e-06
74,4.200579416343698e-06,4.200579416343698e-06
75,4.200579416343698e-06,4.200579416343698e-06
76,4.200579416343698e-06,4.200579416343698e-06
77,4.200579416343698e-06,4.200579416343698e-06
78,4.200579416343698e-06,4.200579416343698e-06
79,4.200579416343698e-06,4.200579416343698e-06
80,4.200579416343698e-06,4.200579416343698e-06
81,4.200579416343698e-06,4.200579416343698e-06
82,4.200579416343698e-06,4.200579416343698e-06
83,4.200579416343698e-06,4.200579416343698e-06
84,4.200579416343698e-06,4.200579416343698e-06
85,4.200579416343698e-06,4.200579416343698e-06
86,4.200579416343698e-06,4.200579416343698e-06
87,4.200579416343698e-06,4.200579416343698e-06
88,4.200579416343698e-06,4.200579416343698e-06
89,4.200579416343698e-06,4.200579416343698e-06
90,4.200579416343698e-06,4.200579416343698e-06
91,4.200579416343698e-06,4.200579416343698e-06
92,4.200579416343698e-06,4.200579416343698e-06
93,4.200579416343698e-06,4.200579416343698e-06
94,4.200579416343698e-06,4.200579416343698e-06
95,4.200579416343698e-06,4.200579416343698e-06
96,4.200579416343698e-06,4.200579416343698e-06
97,4.200579416343698e-06,4.200579416343698e-06
98,4.200579416343698e-06,4.200579416343698e-06
99,4.200579416343698e-06,4.200579416343698e-06
100,4.200579416343698e-06,4.200579416343698e-06
101,4.200579416343698e-06,4.200579416343698e-06
102,4.200579416343698e-06,4.200579416343698e-06
103,4.200579416343698e-06,4.200579416343698e-06
104,4.200579416343698e-06,4.200579416343698e-06
105,4.200579416343698e-06,4.200579416343698e-06
106,4.200579416343698e-06,4.200579416343698e-06
107,4.200579416343698e-06,4.200579416343698e-06
108,4.200579416343698e-06,4.200579416343698e-06
109,4.200579416343698e-06,4.200579416343698e-06
110,4.200579416343698e-06,4.200579416343698e-06
111,4.200579416343698e-06,4.200579416343698e-06
112,4.200579416343698e-06,4.200579416343698e-06
113,4.200579416343698e-06,4.200579416343698e-06
114,4.200579416343698e-06,4.200579416343698e-06
115,4.200579416343698e-06,4.200579416343698e-06
116,4.200579416343698e-06,4.200579416343698e-06
117,4.200579416343698e-06,4.200579416343698e-06
118,4.200579416343698e-06,4.200579416343698e-06
119,4.200579416343698e-06,4.200579416343698e-06
120,4.200579416343698e-06,4.200579416343698e-06
121,4.200579416343698e-06,4.200579416343698e-06
122,4.200579416343698e-06,4.200579416343698e-06
123,4.200579416343698e-06,4.200579416343698e-06
124,4.200579416343698e-06,4.200579416343698e-06
125,4.200579416343698e-06,4.200579416343698e-06
126,4.200579416343698e-06,4.200579416343698e-06
127,4.200579416343698e-06,4.200579416343698e-06
128,4.200579416343698e-06,4.200579416343698e-06
129,4.200579416343698e-06,4.200579416343698e-06
130,4.200579416343698e-06,4.200579416343698e-06
131,4.200579416343698e-06,4.200579416343698e-06
132,4.200579416343698e-06,4.200579416343698e-06
133,4.200579416343698e-06,4.200579416343698e-06
134,4.200579416343698e-06,4.200579416343698e-06
135,4.200579416343698e-06,4.200579416343698e-06
136,4.200579416343698e-06,4.200579416343698e-06
137,4.200579416343698e-06,4.200579416343698e-06
138,4.200579416343698e-06,4.200579416343698e-06
139,4.200579416343698e-06,4.200579416343698e-06
140,4.200579416343698e-06,4.200579416343698e-06
141,4.200579416343698e-06,4.200579416343698e-06
142,4.200579416343698e-06,4.200579416343698e-06
143,4.200579416343698e-06,4.200579416343698e-06
144,4.200579416343698e-06,4.200579416343698e-06
145,4.200579416343698e-06,4.201994856274168e-06
146,4.200579416343698e-06,4.200579416343698e-06
147,4.200579416343698e-06,4.200579416343698e-06
148,4.200579416343698e-06,4.200579416343698e-06
149,4.200579416343698e-06,4.200579416343698e-06
150,4.200579416343698e-06,4.200579416343698e-06
151,4.200579416343698e-06,4.200579416343698e-06
152,4.200579416343698e-06,4.200579416343698e-06
153,4.200579416343698e-06,4.200579416343698e-06
154,4.200579416343698e-06,4.200579416343698e-06
155,4.200579416343698e-06,4.200579416343698e-06
156,4.200579416343698e-06,4.202414181999779e-06
157,4.200579416343698e-06,4.200579416343698e-06
158,4.200579416343698e-06,4.200579416343698e-06
159,4.200579416343698e-06,4.200579416343698e-06
160,4.200579416343698e-06,4.200579416343698e-06
161,4.200579416343698e-06,4.201894198144874e-06
162,4.200579416343698e-06,4.200579416343698e-06
