slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield
-0.194791979,-4.65E-06,4.191726833691067e-06,-1.22E-05,1.6298850650685333,47568.61437788022
-0.194783978,-4.68E-06,4.196831963398928e-06,-1.22E-05,1.6287509513241716,47506.73984516036
-0.194775978,-4.75E-06,4.200339412507859e-06,-1.22E-05,1.6265872945393374,47348.02457
-0.194767977,-4.75E-06,4.2060831919599195e-06,-1.22E-05,1.626441401226445,47374.39554
-0.194759976,-4.73E-06,4.212262115055321e-06,-1.21E-05,1.626922861692144,47424.98742286936
-0.194751975,-4.74E-06,4.216740293216947e-06,-1.21E-05,1.6263910546398974,47405.162172489014
-0.194743974,-4.76E-06,4.222508485307586e-06,-1.21E-05,1.6254896438817077,47357.01415946716
-0.194735974,-4.77E-06,4.228719008181336e-06,-1.21E-05,1.625009414444898,47351.11486
-0.194727973,-4.82E-06,4.23334893795424e-06,-1.21E-05,1.6234676271809096,47245.04022972087
-0.194719972,-4.81E-06,4.239869733135837e-06,-1.21E-05,1.6234205265539308,47268.484652537394
-0.194711971,-4.84E-06,4.24393042525173e-06,-1.21E-05,1.6223062736629132,47198.99610759438
-0.19470397,-4.87E-06,4.248547610663511e-06,-1.21E-05,1.6214029908780785,47149.95105896192
-0.19469597,-4.85E-06,4.253982330781891e-06,-1.21E-05,1.6216376693325378,47196.4485
-0.194687969,-4.88E-06,4.2607596108523715e-06,-1.21E-05,1.6207628368493048,47156.15587371597
-0.194679968,-4.90E-06,4.264532556086387e-06,-1.21E-05,1.6199056179786029,47104.23806145542
-0.194671967,-4.95E-06,4.268923104899791e-06,-1.21E-05,1.618136331002795,46992.05680464046
-0.194663966,-4.95E-06,4.274879246535246e-06,-1.20E-05,1.6180056647539534,47015.11898120762
-0.194655966,-4.99E-06,4.279613606106292e-06,-1.20E-05,1.6165664385374614,46916.06507055082
-0.194647965,-4.97E-06,4.286202811565332e-06,-1.20E-05,1.617093853168696,46978.80829678198
-0.194639964,-4.99E-06,4.290387056515854e-06,-1.20E-05,1.6164691068198869,46943.58478521622
-0.194631963,-5.00E-06,4.296708743856126e-06,-1.20E-05,1.6157541814120588,46920.08882117808
-0.194623962,-5.03E-06,4.300678796698154e-06,-1.20E-05,1.614910565238734,46867.38113
-0.194615962,-5.04E-06,4.307067266562381e-06,-1.20E-05,1.614280742871743,46844.89905999642
-0.194607961,-5.06E-06,4.312736256839589e-06,-1.20E-05,1.613637712991383,46820.35047991531
-0.19459996,-5.08E-06,4.3171058678459495e-06,-1.20E-05,1.6129084502300444,46782.13346112036
-0.194591959,-5.09E-06,4.321908990578827e-06,-1.20E-05,1.6124732133917332,46766.73301085736
-0.194583958,-5.10E-06,4.328639767625653e-06,-1.20E-05,1.611805455220782,46747.06468545959
-0.194575958,-5.12E-06,4.33333786470369e-06,-1.20E-05,1.6110280265409174,46701.69010923961
