slopeH,NADPH_flux,NAD_flux,Fd_flux,F_yield,F_sc,D_to_H1_flux,L1_to_D_flux,FeS_H1_pot,S_FAD_mid_pot
-0.026422642264226415,2.0802515081186357e-05,3.606166387726262e-08,-2.0984601943885295e-05,-4.1823178688948914e-05,7.76494279921578e-08,1.2307967522914542e-09,7.641863123986634e-08,0.013577357735773586,-0.012845284528452829
-0.026402640264026417,2.076834805109229e-05,3.542534443568002e-08,-2.065573812926047e-05,-4.145951152478844e-05,7.64257649455708e-08,1.2102171174881906e-09,7.52155478280826e-08,0.013597359735973584,-0.012805280528052833
-0.02638263826382639,2.1015518953504397e-05,3.629428135809576e-08,-2.119902596064982e-05,-4.225083919551231e-05,7.845138652170701e-08,1.2410791564417411e-09,7.721030736526527e-08,0.01361736173617361,-0.012765276527652782
-0.026362636263626366,2.1070995657623826e-05,3.63952779025567e-08,-2.1311604533780226e-05,-4.241899546930661e-05,7.882120521682935e-08,1.2457111371996277e-09,7.757549407962972e-08,0.013637363736373635,-0.01272527252725273
-0.02634263426342634,2.0957183636483023e-05,3.612373689065862e-08,-2.1196298538361802e-05,-4.2189605911735484e-05,7.838357747112761e-08,1.2375843101338103e-09,7.71459931609938e-08,0.013657365736573661,-0.012685268526852679
-0.026322632263226314,2.1027434996767624e-05,3.6188026797390194e-08,-2.126292210702374e-05,-4.2326545130588755e-05,7.867459748516989e-08,1.2409651780049147e-09,7.743363230716498e-08,0.013677367736773687,-0.012645264526452628
-0.026302630263026316,2.1038969080677816e-05,3.603810228014481e-08,-2.1252022277096216e-05,-4.232702946005418e-05,7.8499312214859e-08,1.236990520606129e-09,7.726232169425287e-08,0.013697369736973684,-0.012605260526052632
-0.02628262826282629,2.1142283571862208e-05,3.6071028830519936e-08,-2.131800878890644e-05,-4.249636338959917e-05,7.872208587706209e-08,1.2392887888996578e-09,7.748279708816243e-08,0.01371737173717371,-0.01256525652565258
-0.026262626262626265,2.093516772561088e-05,3.508138490815327e-08,-2.0731710767885048e-05,-4.170195987840408e-05,7.671010819479947e-08,1.2064352316923746e-09,7.55036729631071e-08,0.013737373737373736,-0.01252525252525253
-0.02624262426242624,2.0982860064577835e-05,3.5244326568317774e-08,-2.0879431414266847e-05,-4.1897535805413e-05,7.721506751595078e-08,1.2131901679247126e-09,7.600187734802606e-08,0.013757375737573761,-0.012485248524852478
-0.02622262226222624,2.0874185040042903e-05,3.555861383119918e-08,-2.1095378726299074e-05,-4.2005122380173177e-05,7.805363330223101e-08,1.2251671587474703e-09,7.682846614348354e-08,0.013777377737773759,-0.012445244524452483
