slopeL,slopeH,F_t,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1
-0.183333333,-0.116666667,0.012017554,1.875767637457117,0.012017554,0.7433230891650453,40.86247984805596,-41.60580289,0.050005111
-0.183333333,-0.033333333,0.010011622,1.4853851021121411,0.010011622,-14.63728771,49.94195836231028,-35.30467087,0.1104452461297434
-0.183333333,0.083333333,0.052579354,1.429314700983226,0.00999991,-16.83916544,50.00044933702969,-33.16128408,0.3671427377469453
-0.183333333,-0.133333333,0.070703444,1.9760410048736996,0.011775478,11.237517630097528,31.22360451542496,-42.46112211,0.05
-0.183333333,0.05,0.052579691,1.429320963646049,0.010000064,-16.83866136,49.99968019716225,-33.16101902,0.3590388756945711
-0.183333333,-0.166666667,0.075963499,2.1583471321185184,0.011559881,23.83593888494329,19.417100176278804,-43.25303905,0.05
-0.183333333,0.1333333333333333,0.009999867,1.4293932560163023,0.009999867,-16.83616457,50.00066584325467,-33.16450142,0.2823836070935774
-0.183333333,0.066666667,0.009999845,1.4415888922942324,0.009999845,-16.35945615,50.00077406234699,-33.64131808,0.1532428279268665
-0.183333333,0.1,0.052579289,1.4293128256892895,0.009999901,-16.83925355,50.00049308633901,-33.16123972,0.3825965033573258
-0.183333333,-0.2,0.012243322,2.334503539502323,0.012243322,31.38668297961705,9.451905033967972,-40.83858803,0.050006396
-0.183333333,0.05,0.00999993,1.4293806001576672,0.00999993,-16.83655363,50.000350528362986,-33.16379709,0.2879574612886404
-0.183333333,-0.133333333,0.011775414,1.976046265777883,0.011775414,11.238007811702062,31.223346106738035,-42.46135387,0.050002411
-0.183333333,-0.05,0.010034808,1.5604028068895046,0.010034808,-11.71652161,49.826563000030255,-38.11004166,0.078476254
-0.183333333,0.1666666666666666,0.009999881,1.4293375513060318,0.009999881,-16.83832108,50.00059706699464,-33.16227617,0.310842276
-0.183333333,0.033333333,0.00999996,1.4296099930646329,0.00999996,-16.82752687,50.00019851,-33.17267183,0.2503617914940153
-0.183333333,-0.116666667,0.067929934,1.8757651071848471,0.012017506,0.7429574769477227,40.86301291590542,-41.60597035,0.050001822
-0.183333333,0.033333333,0.05258013,1.4293322243370974,0.010000168,-16.83804498,49.99915824713237,-33.16111345,0.3583996620247935
-0.166666667,0.1833333333333333,0.052577649,1.4292677451706823,0.009999605,-16.84151738,50.00197728903965,-33.16046004,0.3857828369633285
-0.166666667,0.1499999999999999,0.052577746,1.4292674578294595,0.009999714,-16.84134488,50.001431670463944,-33.16008697,0.3950167239329399
-0.166666667,0.1,0.00999956,1.4303201528306948,0.00999956,-16.80041492,50.002200899334575,-33.20178613,0.2172098813839914
-0.166666667,0.033333333,0.05257849,1.429289947371602,0.009999786,-16.84034377,50.00107214130606,-33.16072854,0.3410792621591319
-0.166666667,-0.05,0.01003487,1.561650667,0.01003487,-11.66865276,49.826255854424595,-38.15760312,0.077990608
-0.166666667,0.1333333333333333,0.009999505,1.4301011317438284,0.009999505,-16.80907648,50.00247587900926,-33.19339954,0.2231958060862329
-0.166666667,0.1666666666666666,0.009999517,1.4293227896117382,0.009999517,-16.83951092,50.00241502180323,-33.16290426,0.2922694684063081
-0.166666667,-0.066666667,0.053451225,1.4525336045268855,0.010180636,-15.64943582,49.11284434440489,-33.46340868,0.2406304878788338
-0.166666667,-0.066666667,0.010091546,1.6282656813181045,0.010091546,-9.075457608,49.54642394162224,-40.47096637,0.054301585
-0.166666667,0.1333333333333333,0.052577773,1.429268568635124,0.009999707,-16.8413118,50.00146250118359,-33.16015088,0.3771269048567701
-0.166666667,-0.033333333,0.010011307,1.4864086006287769,0.010011307,-14.59807685,49.94352808193734,-35.3454514,0.1098258873100208
-0.166666667,0.05,0.052578033,1.429276842,0.009999719,-16.84096885,50.00140543537591,-33.16043676,0.3614902203096402
-0.166666667,-0.2,0.012246323,2.3353586745387283,0.012246323,31.418991747512862,9.409590096113146,-40.82858183,0.050002872
-0.166666667,0.016666667,0.052579773,1.4293224706553516,0.010000102,-16.83853905,49.99949212783307,-33.16095325,0.3479125084032746
-0.166666667,-0.016666667,0.01000311,1.4484920286472671,0.01000311,-16.0847466,49.98445600202018,-33.89970956,0.1416940901151818
-0.166666667,-0.1,0.010717608,1.712283123802638,0.010717608,-5.566138379,46.65219903,-41.08606062,0.05000231
