slopeL,slopeH,F,F_slip,F_yield,fluxD,fluxHR,fluxLR,potential_H1,potential_H1_ramp,dG
-0.183333333,0.1499999999999999,1.429310793319172,1.429310793319172,0.010000128,-16.83895129,49.99935953,-33.16040839,0.4386045579486922,0.45,-2.040074439620721
-0.183333333,-0.1,1.7014569214473363,1.7014569214473363,0.01188466,-5.36459044,42.07104107358358,-36.70645075,0.1277406042018735,0.2,-0.8689069606805102
-0.183333333,0.1333333333333333,1.4293110981398336,1.4293110981398336,0.010000156,-16.83889278,49.999221142548826,-33.16032855,0.4290579720871724,0.433333333,-1.9513008453930276
-0.183333333,-0.016666667,1.4298466977215831,1.4298466977215831,0.010004403,-16.81079754,49.97799650863819,-33.16719907,0.3101500797252625,0.283333333,-1.1527269568676948
-0.183333333,-0.066666667,1.4525547781378807,1.4525547781378807,0.010182257,-15.64613317,49.10502417559833,-33.4588911,0.2488423382259358,0.233333333,-0.9011450717047063
-0.183333333,0.1166666666666666,1.4293115634353026,1.4293115634353026,0.010000094,-16.83897893,49.99953113838054,-33.16055233,0.4175096992893095,0.416666667,-1.862527385115432
-0.183333333,0.0,1.4294752850094108,1.4294752850094108,0.010001304,-16.83053577,49.99347994136582,-33.16294434,0.3275588219551507,0.3,-1.24123387444702
-0.183333333,0.1,1.4293122957112778,1.4293122957112778,0.010000089,-16.83895859,49.99955575558229,-33.16059731,0.4066435743479484,0.4,-1.7737541448437157
-0.183333333,0.05,1.429320468111955,1.429320468111955,0.010000276,-16.8383241,49.99862128372923,-33.16029731,0.3714139920873904,0.35,-1.5074391826627638
-0.183333333,-0.15,2.092963372537492,2.092963372537492,0.011596671,19.792194717727156,23.32362770886061,-43.11582236,0.05,0.15,-1.2323932581752581
-0.183333333,0.083333333,1.429313516,1.429313516,0.010000059,-16.83896112,49.99970503482732,-33.16074407,0.3954357389802904,0.383333333,-1.6849812975684857
-0.183333333,-0.133333333,1.9760410048736996,1.9760410048736996,0.011775478,11.237517630097528,31.22360451542496,-42.46112211,0.05,0.166666667,-1.0185998588753993
-0.183333333,0.016666667,1.4293662287150806,1.4293662287150806,0.010000598,-16.83599147,49.99701129,-33.16101996,0.343506306,0.316666667,-1.329926713038584
-0.183333333,-0.116666667,1.8757637060432633,1.8757637060432633,0.012017648,0.7427446075208621,40.862735490662736,-41.60548006,0.05,0.183333333,-0.879996152183224
-0.183333333,-0.2,2.3344904022492408,2.3344904022492408,0.012243603,31.385349518013385,9.452303497276098,-40.83765296,0.05,0.1,-2.2482219235530208
-0.183333333,-0.05,1.4358200776070889,1.4358200776070889,0.010051175,-16.50015844,49.74542678551517,-33.24526849,0.2709929414177325,0.25,-0.9792002976822942
-0.166666667,-0.183333333,2.213805411406694,2.213805411406694,0.011695457,26.654792132626422,16.096851661972803,-42.75164373,0.05,0.116666667,-1.3716772137102224
-0.166666667,-0.133333333,1.9760352433125872,1.9760352433125872,0.011775528,11.236999723735424,31.22394006522003,-42.46093978,0.05,0.166666667,-0.9732560729294696
