alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L3,potential_H3,dG
0.5918367346938775,0.037208562223808514,0.008874232832414026,0.07829333984133051,63.86239248423776,36.1851777632846,27.67721477590398,-0.4205200466349172,-0.05,0.12414410313910633,-0.07414410313910633
0.6122448979591836,0.03578906275334942,0.008935886923431101,0.07818881406374675,63.94776624646704,36.248322942197255,27.699443180544865,-0.420429980491644,-0.05,0.12427763096420437,-0.07427763096420437
0.6326530612244897,0.03438124285613441,0.008994788887232867,0.07810235802479817,64.01855365932599,36.30252852443762,27.716025182763207,-0.42034543982426215,-0.05,0.12440534578633947,-0.07440534578633946
0.6530612244897959,0.0329764839093357,0.009049161919078869,0.07801614883217207,64.08929517761922,36.35561449260616,27.733680912500606,-0.42026672976773377,-0.05,0.12452247463626034,-0.07452247463626034
0.673469387755102,0.03152971666741026,0.00883239637187623,0.07834293977694919,63.821960455058274,36.15223549778432,27.669724845522648,-0.4265291972019736,-0.05,0.12667842076571378,-0.0766784207657138
0.6938775510204082,0.029866930224876107,0.006420213873962724,0.08301282062027977,60.23166002842487,33.528423825170925,26.703236453786104,-0.41531461160898087,-0.05,0.11437053924758177,-0.06437053924758177
0.7142857142857142,0.02829658464374291,0.00599406163013494,0.08405289217776281,59.48635276634846,32.99976540224269,26.486587480264795,-0.41488589993923136,-0.05,0.11275770918674963,-0.06275770918674962
0.7346938775510203,0.026697825146746134,0.005386993652059174,0.08571243543972538,58.33459257134729,32.19479804058556,26.139794538361826,-0.41482309480148905,-0.05,0.11060629984986779,-0.06060629984986779
0.7551020408163265,0.02506937386383365,0.004928857533136415,0.08716929921681678,57.35964432064593,31.52732775878454,25.832316590390462,-0.41667225272513553,-0.05,0.10973054219757433,-0.059730542197574336
0.7755102040816326,0.023391457897512492,0.005134648338462215,0.08646043637423162,57.8299185280236,31.84513015628992,25.984788570224882,-0.4125486415316741,-0.05,0.10864321388268926,-0.058643213882689255
0.7959183673469387,0.021715169050895152,0.003623437832824666,0.09227292080136999,54.187078420165406,29.39997386353754,24.787104653697572,-0.411112585978555,-0.05,0.10172630588789647,-0.051726305887896465
0.8163265306122448,0.019904597175126604,0.004129382934085862,0.09001666046864099,55.545273259045416,30.296551382669897,25.248721796448663,-0.4115667206438689,-0.05,0.1041987300632035,-0.0541987300632035
0.836734693877551,0.018162286245616683,0.003999702592446606,0.0907455274681133,55.09913422588306,30.01358371632626,25.085550545610737,-0.4175461058686624,-0.05,0.10630411204885958,-0.05630411204885957
0.8571428571428571,0.016238509565603968,0.002880923072214312,0.09638402852594187,51.87581452236847,27.90677159693691,23.969043200779424,-0.4062756109086306,-0.05,0.09569845762404992,-0.04569845762404992
0.8775510204081632,0.014327111947350623,0.0025624012112816412,0.09864087222251164,50.688927263055945,27.158816161305133,23.530111157482505,-0.4064847125765094,-0.05,0.09395369373559713,-0.04395369373559713
0.8979591836734693,0.012360230142192332,0.002461916097534461,0.0994653937351815,50.268739807540385,26.898049254901064,23.370690602337078,-0.3991768539896168,-0.05,0.08976935491317786,-0.03976935491317785
0.9183673469387754,0.01029952859850221,0.0019806246885302123,0.10388719758568708,48.12912573773502,25.57914937240895,22.549976458841808,-0.40421263972026117,-0.05,0.0889764371973146,-0.038976437197314605
0.9387755102040816,0.008153835150139316,0.0014766002989443994,0.11053810286846126,45.23327133735995,23.845699604227278,21.387571730127107,-0.3996756900565027,-0.05,0.08253597683466282,-0.03253597683466282
0.9591836734693877,0.0058750879851769905,0.001210458095396812,0.11549389039501105,43.29233331836586,22.711218820701937,20.581114511246774,-0.4003314488875451,-0.05,0.08010671241581833,-0.03010671241581833
0.9795918367346939,0.0033673499101549405,0.000685621993517467,0.13209028990875354,37.85289582260654,19.62730030544374,18.22559577314007,-0.39670644434990665,-0.05,0.07074565161102925,-0.020745651611029252
1.0,6.370297077942008e-06,6.370297077942008e-06,1.550546238346671,3.2246700625500466,1.6180900720925457,1.6065799448012044,-0.5,-0.05,0.05,0.0
