t,F_t,F_(t),abs(fluxD),fluxHR,fluxLR,abs(fluxD)_(t),fluxHR_(t),fluxLR_(t)
42,0.002743233650740338,0.002342554121032369,10598.502170908352,5507.049247915085,5091.452923087585,15856.385555578221,8367.017280314816,7489.368275185159
43,0.0024435078510323897,0.002342554121032369,15561.26616106843,8230.8231667121,7330.442994325444,15856.385555578221,8367.017280314816,7489.368275185159
44,0.002718508257788085,0.002342554121032369,17185.72541429053,9203.817688864874,7981.907725505327,15856.385555578221,8367.017280314816,7489.368275185159
45,0.0025018622891431284,0.002342554121032369,17278.577830915485,9200.506047095347,8078.071783712927,15856.385555578221,8367.017280314816,7489.368275185159
46,0.0025652694969491453,0.002342554121032369,16852.17885685223,8980.365199876433,7871.813657060462,15856.385555578221,8367.017280314816,7489.368275185159
47,0.002559090831694431,0.002342554121032369,12152.68833324223,6348.611265073312,5804.077068142142,15856.385555578221,8367.017280314816,7489.368275185159
48,0.0027560755518893027,0.002342554121032369,17654.681131011865,9473.612956209698,8181.068174821834,15856.385555578221,8367.017280314816,7489.368275185159
49,0.002610585580815406,0.002342554121032369,13242.912026385282,6977.486786992376,6265.425239532538,15856.385555578221,8367.017280314816,7489.368275185159
50,0.0025838312238939164,0.002342554121032369,22411.701684990403,12064.643892401757,10347.057792551408,15856.385555578221,8367.017280314816,7489.368275185159
51,0.002580327537585259,0.002342554121032369,23526.992716219014,12680.05868401884,10846.934032420344,15856.385555578221,8367.017280314816,7489.368275185159
52,0.002817093825228516,0.002342554121032369,12001.926090403984,6326.14544412191,5675.780646537845,15856.385555578221,8367.017280314816,7489.368275185159
53,0.0024665795950915698,0.002342554121032369,17974.76126205697,9576.92554683618,8397.835715414963,15856.385555578221,8367.017280314816,7489.368275185159
54,0.0025856608849131706,0.002342554121032369,11696.74211385881,6096.031058728411,5600.711055188418,15856.385555578221,8367.017280314816,7489.368275185159
55,0.002346392839210869,0.002342554121032369,15629.932520648028,8242.123414445632,7387.809106232184,15856.385555578221,8367.017280314816,7489.368275185159
56,0.002753331192152317,0.002342554121032369,12105.352042226295,6370.226186418775,5735.125855706407,15856.385555578221,8367.017280314816,7489.368275185159
57,0.0027932791568803387,0.002342554121032369,25347.08883229579,13751.011149029822,11596.077683271404,15856.385555578221,8367.017280314816,7489.368275185159
58,0.002701382486513246,0.002342554121032369,13797.043006324122,7309.988101097071,6487.054905274192,15856.385555578221,8367.017280314816,7489.368275185159
59,0.0028434503618891523,0.002342554121032369,10278.990192731144,5347.959717206366,4931.030475627624,15856.385555578221,8367.017280314816,7489.368275185159
60,0.0026269213523834496,0.002342554121032369,19392.228504793922,10405.388853722769,8986.839651080336,15856.385555578221,8367.017280314816,7489.368275185159
61,0.004105623857233713,0.002342554121032369,7246.091302789457,3808.5636919442695,3437.5276108723483,15856.385555578221,8367.017280314816,7489.368275185159
62,0.002556676815755856,0.002342554121032369,18258.36050890491,9758.349969007351,8500.010539784176,15856.385555578221,8367.017280314816,7489.368275185159
63,0.0028023082074484645,0.002342554121032369,24176.99289517285,13105.157623417195,11071.835271765573,15856.385555578221,8367.017280314816,7489.368275185159
64,0.002349640295225268,0.002342554121032369,18292.659578978346,9719.848248306313,8572.811330640725,15856.385555578221,8367.017280314816,7489.368275185159
65,0.0026105634554368638,0.002342554121032369,14326.940078445303,7584.983878774852,6741.956199669599,15856.385555578221,8367.017280314816,7489.368275185159
66,0.0025963991209896177,0.002342554121032369,23770.659641376405,12819.574932245021,10951.084709208706,15856.385555578221,8367.017280314816,7489.368275185159
67,0.0025519527263690857,0.002342554121032369,17685.176611971518,9439.273552324972,8245.90305970017,15856.385555578221,8367.017280314816,7489.368275185159
68,0.002381746741698214,0.002342554121032369,19540.604661937366,10419.085576574587,9121.519085498097,15856.385555578221,8367.017280314816,7489.368275185159
69,0.0023560864659126646,0.002342554121032369,16644.325815529097,8808.58548888332,7835.740326650113,15856.385555578221,8367.017280314816,7489.368275185159
70,0.0024196569722986475,0.002342554121032369,19347.799030129652,10323.570930686,9024.228099459491,15856.385555578221,8367.017280314816,7489.368275185159
71,0.0023888565021654698,0.002342554121032369,19755.165825430333,10539.709565214842,9215.456260279134,15856.385555578221,8367.017280314816,7489.368275185159
72,0.0030646277890268763,0.002342554121032369,29393.303674203926,16079.729037605037,13313.574636552134,15856.385555578221,8367.017280314816,7489.368275185159
73,0.0031073714396641842,0.002342554121032369,12049.238420207956,6411.801479636582,5637.436940565611,15856.385555578221,8367.017280314816,7489.368275185159
74,0.0024093503473659583,0.002342554121032369,13845.366811989516,7262.8661129093525,6582.500699113523,15856.385555578221,8367.017280314816,7489.368275185159
75,0.0025712155707818367,0.002342554121032369,22856.24366105764,12306.653087339088,10549.590573759211,15856.385555578221,8367.017280314816,7489.368275185159
76,0.002347090460577298,0.002342554121032369,15591.423039738322,8220.887303518983,7370.535736168902,15856.385555578221,8367.017280314816,7489.368275185159
77,0.002546685859986119,0.002342554121032369,22997.366154779855,12377.292282447634,10620.073872327412,15856.385555578221,8367.017280314816,7489.368275185159
78,0.002916888609251241,0.002342554121032369,9920.959763581865,5158.14641504817,4762.813348484888,15856.385555578221,8367.017280314816,7489.368275185159
79,0.002431167021270919,0.002342554121032369,13726.388503330993,7202.171480639379,6524.21702279224,15856.385555578221,8367.017280314816,7489.368275185159
80,0.0025096808205833836,0.002342554121032369,20630.174976295733,11058.307591192737,9571.867385069963,15856.385555578221,8367.017280314816,7489.368275185159
81,0.0024715708196945923,0.002342554121032369,13890.20462417978,7305.108260089502,6585.09636411431,15856.385555578221,8367.017280314816,7489.368275185159
