alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L1,potential_L2,potential_H1,potential_H2
0.5918367346938775,0.04792312163799357,0.015683367842139258,0.0946707646419823,52.81461512783744,31.084215137826977,21.73040002329683,-0.3539966600314693,-0.2754164375913936,-0.05299302057347136,0.23319018678019635,0.08569861978185922
0.6122448979591836,0.04627092301010845,0.008690658674469973,0.10560818248743233,47.34481627360418,26.79333641684731,20.55147991628359,-0.3,-0.272375144767591,-0.05,0.18846287944858722,0.05
0.6326530612244897,0.04335447940082074,0.00785712771356176,0.10448880730665562,47.85201516613964,26.92528854814392,20.926726772463418,-0.3794403380474974,-0.3311504058830004,-0.05,0.20971072061087453,0.1143788351072274
0.6530612244897959,0.04159699910317513,0.007880292368553282,0.10506374119187507,47.59015763717014,26.78234074402915,20.80781679277943,-0.34978714832695446,-0.31515205744920616,-0.05,0.24059973088462125,0.09607203242238276
0.673469387755102,0.04000483688134932,0.007713698604220708,0.10660530957792706,46.901979010288684,26.363768364873085,20.538210791576013,-0.3501267859707548,-0.3072267661684398,-0.05,0.2693896269442767,0.09172381891845989
0.6938775510204082,0.037955521807231385,0.004391675816631789,0.11403357271925713,43.84673639766113,23.97801608724911,19.868720248942594,-0.3105466066684198,-0.28477707101520056,-0.05,0.19443893887505453,0.05
0.7142857142857142,0.035736386216338616,0.0069813936271244876,0.1076238676893739,46.45809621897723,25.97389088452362,20.484205323835003,-0.37539377637452276,-0.32524109765511783,-0.05,0.2720990630405371,0.10952241970125229
0.7346938775510203,0.03353896695620572,0.004650716901842244,0.11353719787598149,44.038430504184845,24.142835169180994,19.895595364927193,-0.30608042138883784,-0.2868720403135847,-0.05,0.19555793295955706,0.05
0.7551020408163265,0.031425750648014894,0.0050419120482410665,0.11277591966398418,44.335705871084144,24.393909809649504,19.941795998239993,-0.302699095585192,-0.2875442950523026,-0.05,0.19604456068560702,0.05
0.7755102040816326,0.029133553412291527,0.0045594698363194035,0.11402584212928613,43.84970906682811,24.018527693292427,19.83118131268511,-0.350395602489614,-0.3062586500533563,-0.05,0.24661973848985977,0.08081313633316334
0.7959183673469387,0.02710541227264001,0.004847161976503758,0.11391258842757133,43.893305114235986,24.10751465585883,19.785790454799415,-0.3,-0.29413957487645587,-0.05,0.1780228280184987,0.05
0.8163265306122448,0.02483451579420574,0.00414102775753522,0.11680557373496356,42.8061764851995,23.35089336450787,19.455283056416736,-0.3,-0.2996155448044537,-0.05,0.18998656622091298,0.05
0.836734693877551,0.022546953383082637,0.003845901135722304,0.11838984615080429,42.23335160494837,22.96866995140247,19.264681671407878,-0.32141154762478796,-0.29019962183225445,-0.05,0.14625165124865633,0.05
0.8571428571428571,0.01976748299893304,0.00349832748671529,0.1173824160722395,42.59581770736618,23.07939397368341,19.516423783718817,-0.3212605960563427,-0.2996376234662834,-0.05,0.1762181034258486,0.05754056228648602
0.8775510204081632,0.01787034446714045,0.0036240520690604618,0.119968773320047,41.67751208149879,22.612880174731252,19.06463191595579,-0.3,-0.3052193256039535,-0.05,0.20172185810264523,0.05
0.8979591836734693,0.014952189379981334,0.002134543530546269,0.12774747285500976,39.139717528727815,20.848519090951466,18.291198397792687,-0.32695506847828504,-0.29612044214538313,-0.05,0.19078654236292775,0.05
0.9183673469387754,0.012467547758270806,0.001742159726122976,0.13312816311993375,37.55779309914152,19.887379542315458,17.670413464775912,-0.32231711858978757,-0.30894663094064423,-0.05,0.18483082669342968,0.05
0.9387755102040816,0.010018307261434493,0.002326154121319432,0.12796465540986526,39.07328931339853,20.869196797216084,18.204092473686107,-0.31365638799430073,-0.30337688368933613,-0.05,0.23106025055975382,0.05
0.9591836734693877,0.007182658416408574,0.0013462429875212682,0.1443384209952601,34.64081118995183,18.21914714247689,16.421664197780263,-0.32111691041131935,-0.3221833364336568,-0.05,0.20609500801314873,0.05
0.9795918367346939,0.0042090928907370165,0.0011756053065526276,0.1498164969315875,33.37416172755425,17.496225471368202,15.877936282212058,-0.33722581918245664,-0.3144786324155192,-0.05,0.1771743990587835,0.05
1.0,9.077165245038256e-05,9.077165245038256e-05,4.018436991424099,1.244264851166875,0.6305149375120855,0.6137499609081019,-0.5,-0.23572524325913236,-0.05,0.4,0.05
