alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,potential_D1,potential_L1,potential_L2,potential_L3,potential_H1,potential_H2,potential_H3
0.5102040816326531,0.03930771471919582,0.013651219240040754,0.06603323084331568,75.7194511475354,44.11545827219876,31.603992967582066,-0.5,-0.38531562880984316,-0.141110403061611,-0.05,0.4,0.4,0.24569585189691817
0.5306122448979591,0.03799351503190158,0.006415686151361035,0.07369019115773001,67.8516356171715,37.768786799402086,30.08284884507264,-0.5,-0.4,-0.23642648828877832,-0.06678584873602154,0.3784296782812377,0.4,0.2221828919100693
0.5510204081632653,0.03612464761097097,0.008256064521091823,0.07032699958491355,71.09644988411235,40.11615509503205,30.98029474674103,-0.5,-0.4,-0.18241251188618973,-0.05,0.4,0.37702018182688557,0.23467333542361024
0.5714285714285714,0.035497693429273516,0.008543393614011957,0.07143675984962226,69.99197630648466,39.57053903828338,30.421437189620008,-0.49821529338969267,-0.4,-0.1749417601435971,-0.05,0.2624518693474555,0.4,0.21923322695519948
0.5918367346938775,0.03414135309794243,0.005387564203378936,0.07583434699505949,65.93318459953169,36.38863390455206,29.544550710534608,-0.5,-0.4,-0.1940722102320995,-0.05,0.4,0.21495044793073645,0.2144936703976226
0.6122448979591836,0.03218436178320141,0.006115052518470025,0.07334642904330357,68.16964461474869,37.854256147732855,30.315388422217843,-0.5,-0.4,-0.14596298767336427,-0.05,0.4,0.4,0.22692760456151045
0.6326530612244897,0.030910095680880486,0.005615895807959778,0.07447232879535502,67.13903114384397,37.12721774460306,30.011813336239566,-0.5,-0.4,-0.22021362523853222,-0.05,0.4,0.4,0.22324078154364865
0.6530612244897959,0.029567893200442345,0.007901676460864749,0.0703513600043531,71.07183143702959,40.00318499173029,31.068646456808132,-0.5,-0.39238655672347966,-0.1615031149049493,-0.05,0.3074957467915558,0.2720534082813548,0.22063836985461996
0.673469387755102,0.027908352753542857,0.005035779012481686,0.07508303609448151,66.59293838369234,36.63800807205264,29.954930410187774,-0.5,-0.3827240144097157,-0.16092053814018142,-0.05,0.31482152700950944,0.26147356177599745,0.20237018674154625
0.6938775510204082,0.02651813093140981,0.0036292023780454385,0.07839970231903572,63.77575234983841,34.604604353438155,29.17114801170964,-0.5,-0.4,-0.21211490236508052,-0.05,0.4,0.4,0.2149051186252099
0.7142857142857142,0.02506759976286203,0.005360278279267893,0.07433590347184735,67.26224837126361,37.11329480729579,30.14895350408632,-0.4717337283224835,-0.4,-0.143477082245339,-0.05,0.24542947930797082,0.2942433203786136,0.19957063200163178
0.7346938775510203,0.023760418926820903,0.004905629793267112,0.075973681142816,65.81226448246439,36.16554399283257,29.646720566568355,-0.4190386353794289,-0.3290027789853624,-0.11319133545229806,-0.05,0.2529910109255742,0.34410579601649055,0.14075770254662132
0.7551020408163265,0.02170546232347105,0.0017944899890052022,0.0830976270214074,60.17018993639057,31.887435714912158,28.28275419400653,-0.5,-0.4,-0.1507328191426582,-0.05,0.2837739387490023,0.39026401424531915,0.19496645084485284
0.7755102040816326,0.02000690728060573,0.0018671027744477837,0.08267168648369681,60.480198403038315,32.088015598553845,28.392182783975286,-0.5,-0.4,-0.15060789760768087,-0.05,0.28446129455351565,0.3938394257489877,0.19573300644515906
0.7959183673469387,0.01833279201288625,0.0019476695765535189,0.08223476951458386,60.801532353961065,32.2981586316054,28.503373740316384,-0.5,-0.4,-0.15045446217737715,-0.05,0.2850797097740126,0.397394736675633,0.1965380911472715
0.8163265306122448,0.016685655905926293,0.0020081243311479728,0.08191912957160769,61.03580481015861,32.45194025541869,28.58386448758248,-0.5,-0.4,-0.15012490660929506,-0.05,0.2857201556099808,0.4,0.19715504524847782
0.836734693877551,0.015051765501849286,0.0020248248789311325,0.08181483619430478,61.11361013944328,32.50134411546486,28.61226595550292,-0.5,-0.4,-0.14915856979226647,-0.05,0.28654095337076174,0.4,0.1974224724033382
0.8571428571428571,0.013424029995912376,0.00204267564531819,0.08171215609947746,61.190405897353244,32.55074899158934,28.639656943092156,-0.5,-0.4,-0.14817146848083565,-0.05,0.2873271623606918,0.4,0.19768766416181227
0.8775510204081632,0.011800360568064851,0.002057022926593691,0.08162761366527482,61.25378134799713,32.591324816856456,28.662456545559156,-0.5,-0.4,-0.1473247723915173,-0.05,0.28809228604977316,0.4,0.19791197733985477
0.8979591836734693,0.01009323717683069,0.0014225865157247086,0.08639496299456324,57.87374433512167,30.480369655044058,27.39337467568728,-0.4050720081185003,-0.34285906365735735,-0.11161444644362006,-0.05380660900708473,0.22461956278116635,0.38443508813773986,0.12011021439884292
0.9183673469387754,0.008359107044609494,0.0014225865157247086,0.08639496299456324,57.87374433512167,30.480369655044058,27.39337467568728,-0.4050720081185003,-0.34285906365735735,-0.11161444644362006,-0.05380660900708473,0.22461956278116635,0.38443508813773986,0.12011021439884292
0.9387755102040816,0.006405036932852655,0.000920257627796204,0.09050498627705147,55.24557491880073,28.807838928493645,26.43773599265218,-0.5,-0.4,-0.14024442535348747,-0.05,0.31483912616796905,0.3202294146944085,0.18691307961718573
0.9591836734693877,0.004806912187828414,0.0011144873298023262,0.09157889635144138,54.5977315777791,28.587700323569543,26.01003122832477,-0.5,-0.4,-0.19384021809847632,-0.05,0.2857336937091892,0.3272628126870585,0.18292442033385037
0.9795918367346939,0.0025875687550403013,0.00042084864378644086,0.10659013409522547,46.908656618634396,24.134785751917892,22.773870881593567,-0.5,-0.4,-0.16064703174370562,-0.05,0.4,0.4,0.18483993861023595
1.0,3.309993057231619e-09,3.309993057231619e-09,7.711627361220902,0.6483715523903868,0.3242121784679526,0.32415942484528415,-0.5,-0.4,-0.2234536770850278,-0.05,0.4,0.4,0.05
